DATE,BAMLCC0A0CMTRIV
2000-01-03,991.58
2000-01-04,995.74
2000-01-05,990.59
2000-01-06,993.67
2000-01-07,995.12
2000-01-10,994.26
2000-01-11,990.24
2000-01-12,989.47
2000-01-13,993.14
2000-01-14,989.88
2000-01-17,990.41
2000-01-18,988.10
2000-01-19,989.79
2000-01-20,988.35
2000-01-21,989.08
2000-01-24,994.15
2000-01-25,994.45
2000-01-26,995.55
2000-01-27,996.83
2000-01-28,998.72
2000-01-31,994.63
2000-02-01,996.98
2000-02-02,999.88
2000-02-03,1007.18
2000-02-04,1003.76
2000-02-07,997.90
2000-02-08,1001.93
2000-02-09,998.15
2000-02-10,994.41
2000-02-11,996.67
2000-02-14,1001.59
2000-02-15,999.91
2000-02-16,999.60
2000-02-17,999.68
2000-02-18,1003.97
2000-02-21,1004.58
2000-02-22,1010.92
2000-02-23,1006.54
2000-02-24,1010.30
2000-02-25,1010.04
2000-02-28,1003.31
2000-02-29,1002.33
2000-03-01,1002.63
2000-03-02,1001.70
2000-03-03,1003.26
2000-03-06,1001.90
2000-03-07,1003.11
2000-03-08,1003.01
2000-03-09,1004.60
2000-03-10,1002.69
2000-03-13,1003.31
2000-03-14,1006.46
2000-03-15,1007.57
2000-03-16,1009.33
2000-03-17,1011.62
2000-03-20,1012.40
2000-03-21,1013.71
2000-03-22,1014.10
2000-03-23,1017.03
2000-03-24,1011.44
2000-03-27,1011.15
2000-03-28,1012.00
2000-03-29,1012.43
2000-03-30,1012.60
2000-03-31,1013.44
2000-04-03,1015.66
2000-04-04,1022.38
2000-04-05,1020.23
2000-04-06,1019.55
2000-04-07,1022.44
2000-04-10,1025.01
2000-04-11,1018.25
2000-04-12,1013.75
2000-04-13,1015.56
2000-04-14,1016.64
2000-04-17,1012.68
2000-04-18,1011.73
2000-04-19,1015.49
2000-04-20,1015.86
2000-04-21,.
2000-04-24,1016.81
2000-04-25,1010.11
2000-04-26,1009.37
2000-04-27,1002.95
2000-04-28,1000.49
2000-04-30,1000.92
2000-05-01,999.67
2000-05-02,997.37
2000-05-03,993.73
2000-05-04,990.95
2000-05-05,989.01
2000-05-08,985.78
2000-05-09,987.44
2000-05-10,990.35
2000-05-11,991.53
2000-05-12,987.16
2000-05-15,988.93
2000-05-16,989.95
2000-05-17,987.72
2000-05-18,984.25
2000-05-19,986.15
2000-05-22,990.44
2000-05-23,989.44
2000-05-24,988.63
2000-05-25,990.54
2000-05-26,993.50
2000-05-29,994.12
2000-05-30,991.91
2000-05-31,995.34
2000-06-01,1000.02
2000-06-02,1002.47
2000-06-05,1006.42
2000-06-06,1005.79
2000-06-07,1008.22
2000-06-08,1008.75
2000-06-09,1009.25
2000-06-12,1011.55
2000-06-13,1010.58
2000-06-14,1013.78
2000-06-15,1013.99
2000-06-16,1017.96
2000-06-19,1017.71
2000-06-20,1017.21
2000-06-21,1013.56
2000-06-22,1013.07
2000-06-23,1010.63
2000-06-26,1014.79
2000-06-27,1015.54
2000-06-28,1014.83
2000-06-29,1019.62
2000-06-30,1020.15
2000-07-03,1022.89
2000-07-04,1023.10
2000-07-05,1024.02
2000-07-06,1021.31
2000-07-07,1024.15
2000-07-10,1023.73
2000-07-11,1023.43
2000-07-12,1022.92
2000-07-13,1027.13
2000-07-14,1023.18
2000-07-17,1021.21
2000-07-18,1022.09
2000-07-19,1022.16
2000-07-20,1029.87
2000-07-21,1031.07
2000-07-24,1030.27
2000-07-25,1030.91
2000-07-26,1031.07
2000-07-27,1033.29
2000-07-28,1032.65
2000-07-31,1032.21
2000-08-01,1034.71
2000-08-02,1035.80
2000-08-03,1037.34
2000-08-04,1040.04
2000-08-07,1038.33
2000-08-08,1040.26
2000-08-09,1040.68
2000-08-10,1043.24
2000-08-11,1040.47
2000-08-14,1041.95
2000-08-15,1040.95
2000-08-16,1040.20
2000-08-17,1040.83
2000-08-18,1042.59
2000-08-21,1042.37
2000-08-22,1042.26
2000-08-23,1044.55
2000-08-24,1045.41
2000-08-25,1045.62
2000-08-28,1043.27
2000-08-29,1041.31
2000-08-30,1042.01
2000-08-31,1045.58
2000-09-01,1048.15
2000-09-04,1048.79
2000-09-05,1049.15
2000-09-06,1047.35
2000-09-07,1046.18
2000-09-08,1047.72
2000-09-11,1046.40
2000-09-12,1046.09
2000-09-13,1048.36
2000-09-14,1045.77
2000-09-15,1044.33
2000-09-18,1043.64
2000-09-19,1045.72
2000-09-20,1043.77
2000-09-21,1045.31
2000-09-22,1047.22
2000-09-25,1048.61
2000-09-26,1050.15
2000-09-27,1050.69
2000-09-28,1052.38
2000-09-29,1053.58
2000-09-30,1053.80
2000-10-02,1052.80
2000-10-03,1051.19
2000-10-04,1050.08
2000-10-05,1051.96
2000-10-06,1053.89
2000-10-09,1054.52
2000-10-10,1055.12
2000-10-11,1055.77
2000-10-12,1057.41
2000-10-13,1056.70
2000-10-16,1055.16
2000-10-17,1058.53
2000-10-18,1057.29
2000-10-19,1057.50
2000-10-20,1058.54
2000-10-23,1061.71
2000-10-24,1059.97
2000-10-25,1057.82
2000-10-26,1057.97
2000-10-27,1056.26
2000-10-30,1054.78
2000-10-31,1053.24
2000-11-01,1054.76
