DATE,CCSA
2000-01-01,2102000
2000-01-08,2107000
2000-01-15,2115000
2000-01-22,2061000
2000-01-29,2164000
2000-02-05,2160000
2000-02-12,2141000
2000-02-19,2132000
2000-02-26,2157000
2000-03-04,2098000
2000-03-11,2099000
2000-03-18,2051000
2000-03-25,2068000
2000-04-01,2026000
2000-04-08,2027000
2000-04-15,1962000
2000-04-22,2035000
2000-04-29,2027000
2000-05-06,1991000
2000-05-13,1982000
2000-05-20,1998000
2000-05-27,1987000
2000-06-03,2019000
2000-06-10,2020000
2000-06-17,2041000
2000-06-24,2033000
2000-07-01,2052000
2000-07-08,2099000
2000-07-15,2122000
2000-07-22,2070000
2000-07-29,2085000
2000-08-05,2096000
2000-08-12,2109000
2000-08-19,2145000
2000-08-26,2119000
2000-09-02,2169000
2000-09-09,2139000
2000-09-16,2115000
2000-09-23,2098000
2000-09-30,2077000
2000-10-07,2133000
2000-10-14,2124000
2000-10-21,2082000
2000-10-28,2126000
2000-11-04,2110000
2000-11-11,2161000
2000-11-18,2279000
2000-11-25,2295000
2000-12-02,2229000
2000-12-09,2263000
2000-12-16,2322000
2000-12-23,2340000
2000-12-30,2378000
2001-01-06,2357000
2001-01-13,2367000
2001-01-20,2419000
2001-01-27,2440000
2001-02-03,2489000
2001-02-10,2435000
2001-02-17,2516000
2001-02-24,2506000
2001-03-03,2558000
2001-03-10,2557000
2001-03-17,2605000
2001-03-24,2587000
2001-03-31,2620000
2001-04-07,2582000
2001-04-14,2742000
2001-04-21,2737000
2001-04-28,2728000
2001-05-05,2732000
2001-05-12,2800000
2001-05-19,2819000
2001-05-26,2926000
2001-06-02,2919000
2001-06-09,2948000
2001-06-16,2939000
2001-06-23,2972000
2001-06-30,2959000
2001-07-07,3063000
2001-07-14,3029000
2001-07-21,2975000
2001-07-28,3056000
2001-08-04,3079000
2001-08-11,3125000
2001-08-18,3113000
2001-08-25,3163000
2001-09-01,3213000
2001-09-08,3197000
2001-09-15,3214000
2001-09-22,3302000
2001-09-29,3385000
2001-10-06,3432000
2001-10-13,3521000
2001-10-20,3557000
2001-10-27,3600000
2001-11-03,3616000
2001-11-10,3627000
2001-11-17,3790000
2001-11-24,3593000
2001-12-01,3619000
2001-12-08,3626000
2001-12-15,3637000
2001-12-22,3591000
2001-12-29,3474000
2002-01-05,3587000
2002-01-12,3500000
2002-01-19,3557000
2002-01-26,3558000
2002-02-02,3537000
2002-02-09,3562000
2002-02-16,3580000
2002-02-23,3538000
2002-03-02,3567000
2002-03-09,3567000
2002-03-16,3598000
