DATE,WILLLRGCAPVAL
2000-01-03,23255.41
2000-01-04,22587.51
2000-01-05,22744.05
2000-01-06,23028.53
2000-01-07,23515.13
2000-01-10,23690.85
2000-01-11,23472.37
2000-01-12,23430.09
2000-01-13,23702.11
2000-01-14,23865.15
2000-01-17,.
2000-01-18,23711.17
2000-01-19,23769.13
2000-01-20,23609.88
2000-01-21,23682.71
2000-01-24,23238.10
2000-01-25,23101.85
2000-01-26,23189.47
2000-01-27,23152.23
2000-01-28,22576.08
2000-01-31,23148.53
2000-02-01,23157.99
2000-02-02,23125.99
2000-02-03,23224.11
2000-02-04,23075.10
2000-02-07,23017.15
2000-02-08,23130.46
2000-02-09,22715.97
2000-02-10,22605.85
2000-02-11,22256.20
2000-02-14,22181.04
2000-02-15,22460.22
2000-02-16,22340.16
2000-02-17,22261.71
2000-02-18,21660.22
2000-02-21,.
2000-02-22,21840.21
2000-02-23,21780.89
2000-02-24,21509.54
2000-02-25,21206.02
2000-02-28,21566.63
2000-02-29,21922.02
2000-03-01,22295.56
2000-03-02,22342.51
2000-03-03,22639.13
2000-03-06,22392.15
2000-03-07,21932.60
2000-03-08,21871.14
2000-03-09,22219.40
2000-03-10,22084.84
2000-03-13,21979.02
2000-03-14,21660.96
2000-03-15,22266.09
2000-03-16,23378.73
2000-03-17,23299.16
2000-03-20,23146.27
2000-03-21,23568.31
2000-03-22,23612.29
2000-03-23,23883.09
2000-03-24,23916.53
2000-03-27,23793.81
2000-03-28,23638.08
2000-03-29,23713.59
2000-03-30,23674.25
2000-03-31,23931.77
2000-04-03,24148.41
2000-04-04,24081.24
2000-04-05,23968.49
2000-04-06,24188.51
2000-04-07,24139.29
2000-04-10,24006.18
2000-04-11,24090.19
2000-04-12,23999.35
2000-04-13,23805.23
2000-04-14,22651.74
2000-04-17,22911.91
2000-04-18,23291.51
2000-04-19,23202.71
2000-04-20,23348.98
2000-04-21,.
2000-04-24,23429.96
2000-04-25,24028.22
2000-04-26,23801.14
2000-04-27,23687.44
2000-04-28,23596.53
2000-05-01,23764.04
2000-05-02,23439.60
2000-05-03,23059.65
2000-05-04,23088.64
2000-05-05,23253.48
2000-05-08,23338.42
2000-05-09,23217.86
2000-05-10,22980.25
2000-05-11,23343.55
2000-05-12,23465.58
2000-05-15,23937.33
2000-05-16,24062.82
2000-05-17,23823.56
2000-05-18,23818.56
2000-05-19,23454.54
2000-05-22,23367.59
2000-05-23,23160.14
2000-05-24,23457.21
2000-05-25,23233.19
2000-05-26,23234.56
2000-05-29,.
2000-05-30,23727.16
2000-05-31,23734.72
2000-06-01,24076.04
2000-06-02,24310.00
2000-06-05,24096.06
2000-06-06,24036.16
2000-06-07,24157.21
2000-06-08,23975.24
2000-06-09,23905.69
2000-06-12,23822.27
2000-06-13,24015.95
2000-06-14,24094.45
2000-06-15,24021.65
2000-06-16,23700.53
2000-06-19,23934.37
2000-06-20,23796.13
2000-06-21,23869.80
2000-06-22,23622.12
2000-06-23,23513.15
2000-06-26,23597.57
2000-06-27,23485.99
2000-06-28,23414.93
2000-06-29,23379.50
2000-06-30,23146.61
2000-07-03,23592.93
2000-07-04,.
2000-07-05,23411.07
2000-07-06,23481.36
2000-07-07,23751.28
2000-07-10,23714.11
2000-07-11,23797.71
2000-07-12,23812.08
2000-07-13,23865.55
2000-07-14,23981.80
2000-07-17,23904.76
2000-07-18,23748.04
2000-07-19,23648.01
2000-07-20,23727.85
2000-07-21,23539.91
2000-07-24,23330.74
2000-07-25,23466.88
2000-07-26,23201.34
2000-07-27,23223.29
2000-07-28,22997.52
2000-07-31,23052.03
2000-08-01,23382.01
2000-08-02,23468.45
2000-08-03,23652.26
2000-08-04,23848.59
2000-08-07,24001.45
2000-08-08,23995.51
2000-08-09,23726.23
2000-08-10,23740.89
2000-08-11,23955.17
2000-08-14,24200.30
2000-08-15,24108.07
2000-08-16,24061.75
2000-08-17,24202.21
2000-08-18,24149.36
2000-08-21,24201.08
2000-08-22,24226.87
2000-08-23,24271.18
2000-08-24,24233.36
2000-08-25,24189.17
2000-08-28,24222.97
2000-08-29,24111.82
2000-08-30,24064.13
2000-08-31,24248.09
2000-09-01,24337.18
2000-09-04,.
2000-09-05,24291.53
2000-09-06,24238.90
2000-09-07,24235.88
2000-09-08,24251.95
2000-09-11,24336.34
2000-09-12,24309.95
2000-09-13,24319.30
2000-09-14,24224.02
2000-09-15,24127.58
