DATE,WILLMIDCAP
2000-01-03,28383.26
2000-01-04,27309.75
2000-01-05,27208.00
2000-01-06,26792.21
2000-01-07,27537.12
2000-01-10,28446.22
2000-01-11,27901.39
2000-01-12,27591.45
2000-01-13,28324.16
2000-01-14,28707.46
2000-01-17,.
2000-01-18,29050.50
2000-01-19,29338.03
2000-01-20,29628.00
2000-01-21,30021.99
2000-01-24,29290.50
2000-01-25,29372.43
2000-01-26,29173.44
2000-01-27,29061.33
2000-01-28,28140.27
2000-01-31,27882.10
2000-02-01,28322.88
2000-02-02,28547.67
2000-02-03,29209.72
2000-02-04,29182.88
2000-02-07,29460.34
2000-02-08,29801.44
2000-02-09,29521.16
2000-02-10,29822.00
2000-02-11,29535.01
2000-02-14,29768.97
2000-02-15,29770.38
2000-02-16,29967.31
2000-02-17,30346.70
2000-02-18,29656.76
2000-02-21,.
2000-02-22,29625.11
2000-02-23,30255.84
2000-02-24,30543.27
2000-02-25,30608.89
2000-02-28,30767.86
2000-02-29,31704.55
2000-03-01,32521.58
2000-03-02,32376.33
2000-03-03,33379.27
2000-03-06,33534.06
2000-03-07,33363.22
2000-03-08,33567.54
2000-03-09,34350.00
2000-03-10,34261.86
2000-03-13,33312.67
2000-03-14,32239.43
2000-03-15,31603.85
2000-03-16,32754.06
2000-03-17,32898.18
2000-03-20,31783.81
2000-03-21,31832.42
2000-03-22,32704.95
2000-03-23,32877.55
2000-03-24,33032.48
2000-03-27,32880.93
2000-03-28,32188.38
2000-03-29,31179.15
2000-03-30,30450.78
2000-03-31,31101.49
2000-04-03,29658.70
2000-04-04,29022.18
2000-04-05,29412.28
2000-04-06,30245.02
2000-04-07,30835.92
2000-04-10,29759.42
2000-04-11,29382.96
2000-04-12,28460.29
2000-04-13,28170.70
2000-04-14,26055.00
2000-04-17,26356.08
2000-04-18,27846.49
2000-04-19,27955.05
2000-04-20,27762.06
2000-04-21,.
2000-04-24,27185.68
2000-04-25,28307.68
2000-04-26,28095.86
2000-04-27,28455.55
2000-04-28,29074.82
2000-05-01,29784.43
2000-05-02,29175.53
2000-05-03,28564.34
2000-05-04,29187.39
2000-05-05,29533.26
2000-05-08,29165.09
2000-05-09,28825.51
2000-05-10,27898.86
2000-05-11,28636.75
2000-05-12,28730.00
2000-05-15,29085.95
2000-05-16,29639.31
2000-05-17,29361.42
2000-05-18,28922.98
2000-05-19,28252.92
2000-05-22,27868.11
2000-05-23,27273.67
2000-05-24,27417.21
2000-05-25,27193.55
2000-05-26,27116.64
2000-05-29,.
2000-05-30,28116.17
2000-05-31,28157.62
2000-06-01,28972.17
2000-06-02,29960.12
2000-06-05,29959.73
2000-06-06,29744.42
2000-06-07,29987.95
2000-06-08,29894.50
2000-06-09,30155.81
2000-06-12,29555.76
2000-06-13,29775.43
2000-06-14,29668.45
2000-06-15,29689.66
2000-06-16,29735.70
2000-06-19,30004.56
2000-06-20,30202.67
2000-06-21,30273.68
2000-06-22,29709.49
2000-06-23,29475.46
2000-06-26,29554.48
2000-06-27,29171.81
2000-06-28,29596.78
2000-06-29,29542.34
2000-06-30,29359.14
2000-07-03,29844.55
2000-07-04,.
2000-07-05,29311.95
2000-07-06,29525.89
2000-07-07,29923.32
2000-07-10,30141.04
2000-07-11,30314.65
2000-07-12,30925.65
2000-07-13,31189.09
2000-07-14,31445.73
2000-07-17,31505.20
2000-07-18,31014.40
2000-07-19,30451.70
2000-07-20,30761.54
2000-07-21,30196.55
2000-07-24,29846.15
2000-07-25,29757.35
2000-07-26,29578.97
2000-07-27,28942.04
2000-07-28,28425.44
2000-07-31,28812.22
2000-08-01,28872.55
2000-08-02,29012.78
2000-08-03,29087.23
2000-08-04,29469.04
2000-08-07,29835.81
2000-08-08,29783.42
2000-08-09,29660.54
2000-08-10,29407.19
2000-08-11,29702.37
2000-08-14,29998.33
2000-08-15,29846.53
2000-08-16,29978.22
2000-08-17,30241.52
2000-08-18,30313.78
2000-08-21,30354.94
2000-08-22,30338.26
2000-08-23,30384.85
2000-08-24,30584.96
2000-08-25,30713.86
2000-08-28,30770.30
2000-08-29,30901.33
2000-08-30,31069.80
2000-08-31,31383.21
2000-09-01,31636.26
2000-09-04,.
2000-09-05,31453.51
2000-09-06,31208.67
2000-09-07,31381.98
2000-09-08,31068.44
2000-09-11,31036.87
2000-09-12,30872.62
2000-09-13,30883.18
2000-09-14,31158.62
2000-09-15,30767.69
2000-09-18,29798.40
2000-09-19,30091.55
2000-09-20,30014.20
2000-09-21,29648.25
2000-09-22,29848.96
2000-09-25,29879.14
2000-09-26,29619.85
2000-09-27,29491.55
2000-09-28,30242.36
2000-09-29,30071.99
2000-10-02,29736.36
2000-10-03,29255.35
2000-10-04,29424.94
2000-10-05,29229.61
2000-10-06,28524.55
2000-10-09,28501.48
2000-10-10,28009.84
2000-10-11,27670.19
2000-10-12,27014.56
2000-10-13,27974.77
2000-10-16,28224.82
2000-10-17,27565.89
2000-10-18,27250.45
2000-10-19,28137.92
2000-10-20,28615.41
2000-10-23,28622.39
2000-10-24,28500.78
2000-10-25,27791.45
2000-10-26,27941.96
2000-10-27,28057.36
2000-10-30,28134.23
2000-10-31,29125.40
2000-11-01,29147.14
2000-11-02,29640.33
2000-11-03,29605.44
2000-11-06,29478.35
2000-11-07,29443.85
2000-11-08,29107.70
2000-11-09,28674.22
2000-11-10,27908.68
2000-11-13,27537.58
2000-11-14,28236.97
2000-11-15,28626.02
2000-11-16,28087.09
2000-11-17,27931.09
2000-11-20,27182.47
2000-11-21,27118.12
2000-11-22,26621.31
2000-11-23,.
2000-11-24,27324.26
2000-11-27,27360.09
2000-11-28,26629.70
2000-11-29,26408.13
2000-11-30,26083.68
2000-12-01,26659.15
2000-12-04,26607.25
2000-12-05,27670.01
2000-12-06,27400.89
2000-12-07,27257.63
2000-12-08,28394.63
2000-12-11,28880.29
2000-12-12,28300.02
2000-12-13,27814.06
2000-12-14,27198.42
2000-12-15,27003.47
2000-12-18,27301.10
2000-12-19,27048.04
2000-12-20,26240.26
2000-12-21,26295.90
2000-12-22,27228.57
2000-12-25,.
2000-12-26,27479.95
2000-12-27,28053.88
2000-12-28,28719.02
2000-12-29,28346.79
2001-01-01,.
2001-01-02,27070.75
2001-01-03,28063.23
2001-01-04,27465.04
2001-01-05,26739.12
2001-01-08,26648.91
2001-01-09,26705.41
2001-01-10,27283.41
2001-01-11,27712.09
2001-01-12,27730.81
2001-01-15,.
2001-01-16,27768.55
2001-01-17,27935.25
2001-01-18,27908.85
2001-01-19,27640.38
2001-01-22,27748.52
2001-01-23,28350.15
2001-01-24,28506.08
2001-01-25,28365.26
2001-01-26,28433.35
2001-01-29,28881.62
2001-01-30,29018.24
2001-01-31,28882.69
2001-02-01,28884.61
2001-02-02,28461.62
2001-02-05,28450.61
2001-02-06,28729.43
2001-02-07,28578.87
2001-02-08,28425.08
2001-02-09,28186.15
2001-02-12,28328.56
2001-02-13,28245.11
2001-02-14,28299.31
2001-02-15,28592.80
2001-02-16,28159.29
2001-02-19,.
2001-02-20,27701.83
2001-02-21,27272.44
2001-02-22,27039.36
2001-02-23,26996.45
2001-02-26,27629.21
2001-02-27,27223.63
2001-02-28,26932.03
2001-03-01,26881.70
2001-03-02,27050.24
2001-03-05,27127.06
2001-03-06,27417.06
2001-03-07,27612.56
2001-03-08,27470.60
2001-03-09,26991.08
2001-03-12,26070.70
2001-03-13,26128.21
2001-03-14,25687.76
2001-03-15,25567.73
2001-03-16,25081.36
2001-03-19,25569.67
2001-03-20,25261.71
2001-03-21,24729.28
2001-03-22,24375.18
2001-03-23,24934.24
2001-03-26,25303.52
2001-03-27,25523.51
2001-03-28,24994.36
2001-03-29,24929.38
2001-03-30,25166.22
2001-04-02,24765.77
2001-04-03,23887.39
2001-04-04,23916.07
2001-04-05,25011.33
2001-04-06,24542.39
2001-04-09,24861.38
2001-04-10,25621.31
2001-04-11,25552.86
2001-04-12,25933.99
2001-04-13,.
2001-04-16,25753.75
2001-04-17,26006.98
2001-04-18,26878.07
2001-04-19,27226.38
2001-04-20,26952.46
2001-04-23,26551.80
2001-04-24,26449.71
2001-04-25,26920.46
2001-04-26,27187.23
2001-04-27,27548.27
2001-04-30,27812.19
2001-05-01,28017.79
2001-05-02,28181.40
2001-05-03,27719.85
2001-05-04,28082.91
2001-05-07,27951.84
2001-05-08,27999.55
2001-05-09,27923.36
2001-05-10,27941.99
2001-05-11,27753.09
2001-05-14,27660.05
2001-05-15,27849.63
2001-05-16,28522.98
2001-05-17,28994.34
2001-05-18,28996.39
2001-05-21,29639.56
2001-05-22,29673.99
2001-05-23,29065.81
2001-05-24,29072.83
2001-05-25,28980.17
2001-05-28,.
2001-05-29,28627.31
2001-05-30,28050.95
2001-05-31,28393.43
2001-06-01,28631.95
2001-06-04,28778.74
2001-06-05,29303.87
2001-06-06,29083.42
2001-06-07,29132.94
2001-06-08,28934.99
2001-06-11,28510.72
2001-06-12,28437.47
2001-06-13,28338.16
2001-06-14,27716.05
2001-06-15,27688.42
2001-06-18,27490.99
2001-06-19,27460.85
2001-06-20,27827.50
2001-06-21,27920.36
2001-06-22,27570.64
2001-06-25,27425.87
2001-06-26,27527.16
2001-06-27,27656.69
2001-06-28,28002.55
2001-06-29,28293.58
2001-07-02,28272.39
2001-07-03,28204.17
2001-07-04,.
2001-07-05,27999.25
2001-07-06,27461.62
2001-07-09,27434.10
2001-07-10,27170.70
2001-07-11,27080.07
2001-07-12,27680.74
2001-07-13,27806.76
2001-07-16,27466.32
2001-07-17,27729.17
2001-07-18,27662.96
2001-07-19,27761.67
2001-07-20,27753.54
2001-07-23,27527.43
2001-07-24,26941.14
2001-07-25,27185.02
2001-07-26,27595.35
2001-07-27,27756.71
2001-07-30,27760.24
2001-07-31,27841.89
2001-08-01,27950.06
2001-08-02,27974.05
2001-08-03,27919.88
2001-08-06,27605.19
2001-08-07,27556.51
2001-08-08,27221.68
2001-08-09,27134.99
2001-08-10,27222.83
2001-08-13,27390.25
2001-08-14,27464.68
2001-08-15,27371.34
2001-08-16,27386.18
2001-08-17,27070.23
2001-08-20,27118.71
2001-08-21,26902.91
2001-08-22,27072.70
2001-08-23,27048.72
2001-08-24,27309.80
2001-08-27,27292.65
2001-08-28,27043.80
2001-08-29,26968.40
2001-08-30,26646.18
2001-08-31,26799.67
2001-09-03,.
2001-09-04,26818.68
2001-09-05,26545.59
2001-09-06,26148.82
2001-09-07,25672.53
2001-09-10,25483.41
2001-09-11,.
2001-09-12,.
2001-09-13,.
2001-09-14,.
2001-09-17,24058.39
2001-09-18,23747.62
2001-09-19,23301.54
2001-09-20,22635.58
2001-09-21,22139.24
2001-09-24,22873.94
2001-09-25,23004.25
2001-09-26,22728.75
2001-09-27,23024.76
2001-09-28,23595.02
2001-10-01,23238.64
2001-10-02,23525.20
2001-10-03,24150.94
2001-10-04,24280.44
2001-10-05,24203.52
2001-10-08,24004.51
2001-10-09,23982.59
2001-10-10,24619.04
2001-10-11,25152.84
2001-10-12,24957.61
2001-10-15,24911.26
2001-10-16,25165.70
2001-10-17,24534.55
2001-10-18,24313.50
2001-10-19,24502.22
2001-10-22,24796.56
2001-10-23,24712.76
2001-10-24,24715.74
2001-10-25,25056.78
2001-10-26,25258.25
2001-10-29,24754.17
2001-10-30,24300.57
2001-10-31,24491.17
2001-11-01,24889.77
2001-11-02,24913.57
2001-11-05,25296.65
2001-11-06,25635.15
2001-11-07,25696.90
2001-11-08,25545.83
2001-11-09,25555.96
2001-11-12,25599.70
2001-11-13,26129.09
2001-11-14,26253.89
2001-11-15,26199.65
2001-11-16,26189.22
2001-11-19,26436.33
2001-11-20,26252.63
2001-11-21,26143.47
2001-11-22,.
2001-11-23,26441.75
2001-11-26,26681.86
2001-11-27,26675.95
2001-11-28,26296.83
2001-11-29,26576.53
2001-11-30,26503.58
2001-12-03,26326.03
2001-12-04,26793.47
2001-12-05,27534.24
2001-12-06,27678.53
2001-12-07,27485.14
2001-12-10,27154.50
2001-12-11,27191.58
2001-12-12,27123.14
2001-12-13,26760.87
2001-12-14,26892.04
2001-12-17,27061.62
2001-12-18,27392.38
2001-12-19,27334.95
2001-12-20,27047.89
2001-12-21,27296.52
2001-12-24,27407.06
2001-12-25,.
2001-12-26,27668.90
2001-12-27,27834.85
2001-12-28,28057.98
2001-12-31,27840.05
2002-01-01,.
2002-01-02,27740.33
2002-01-03,28008.29
2002-01-04,28303.49
2002-01-07,28095.20
2002-01-08,28005.68
2002-01-09,27945.70
2002-01-10,27868.02
2002-01-11,27602.87
2002-01-14,27215.89
2002-01-15,27323.14
2002-01-16,26877.83
2002-01-17,27181.49
2002-01-18,26946.01
2002-01-21,.
2002-01-22,26762.76
2002-01-23,27109.10
2002-01-24,27385.34
2002-01-25,27488.15
2002-01-28,27534.61
2002-01-29,27068.05
2002-01-30,27311.36
2002-01-31,27536.55
2002-02-01,27447.89
2002-02-04,26893.58
2002-02-05,26750.45
2002-02-06,26587.29
2002-02-07,26389.58
2002-02-08,26805.39
2002-02-11,27241.64
2002-02-12,27161.41
2002-02-13,27396.26
2002-02-14,27343.83
2002-02-15,27140.46
2002-02-18,.
2002-02-19,26672.58
2002-02-20,26944.26
2002-02-21,26711.75
2002-02-22,26835.08
2002-02-25,27203.68
2002-02-26,27413.19
2002-02-27,27503.29
2002-02-28,27412.19
2002-03-01,27845.42
2002-03-04,28569.08
2002-03-05,28543.37
2002-03-06,28955.24
2002-03-07,28829.33
2002-03-08,29015.55
2002-03-11,29008.30
2002-03-12,28899.52
2002-03-13,28687.21
2002-03-14,28713.00
2002-03-15,28937.53
2002-03-18,29090.78
2002-03-19,29202.77
2002-03-20,28890.21
2002-03-21,28945.73
2002-03-22,28818.91
2002-03-25,28372.78
2002-03-26,28596.86
2002-03-27,28876.07
2002-03-28,29009.32
2002-03-29,.
2002-04-01,28951.17
2002-04-02,28659.74
2002-04-03,28384.71
2002-04-04,28482.43
2002-04-05,28542.90
2002-04-08,28817.41
2002-04-09,28799.35
2002-04-10,29170.92
2002-04-11,28759.46
2002-04-12,29040.15
2002-04-15,28992.12
2002-04-16,29413.20
2002-04-17,29352.57
2002-04-18,29291.68
2002-04-19,29321.15
2002-04-22,28965.45
2002-04-23,28928.61
2002-04-24,28758.68
2002-04-25,28713.64
2002-04-26,28461.71
2002-04-29,28283.25
2002-04-30,28683.45
2002-05-01,28753.13
2002-05-02,28758.30
2002-05-03,28633.40
2002-05-06,28223.10
2002-05-07,28130.04
2002-05-08,28756.41
2002-05-09,28437.76
2002-05-10,28116.06
2002-05-13,28399.28
2002-05-14,29023.62
2002-05-15,28996.70
2002-05-16,28858.87
2002-05-17,28967.60
2002-05-20,28690.09
2002-05-21,28350.87
2002-05-22,28350.95
2002-05-23,28711.34
2002-05-24,28537.80
2002-05-27,.
2002-05-28,28398.53
2002-05-29,28274.70
2002-05-30,28212.77
2002-05-31,28275.64
2002-06-03,27686.65
2002-06-04,27443.23
2002-06-05,27652.24
2002-06-06,27265.91
2002-06-07,27403.74
2002-06-10,27456.11
2002-06-11,27019.18
2002-06-12,26937.62
2002-06-13,26634.61
2002-06-14,26694.33
2002-06-17,27300.18
2002-06-18,27312.31
2002-06-19,27040.73
2002-06-20,26734.13
2002-06-21,26492.42
2002-06-24,26285.34
2002-06-25,25896.97
2002-06-26,25728.03
2002-06-27,25991.17
2002-06-28,26176.12
2002-07-01,25647.15
2002-07-02,24954.69
2002-07-03,24805.11
2002-07-04,.
2002-07-05,25628.25
2002-07-08,25309.33
2002-07-09,24763.86
2002-07-10,24177.16
2002-07-11,24139.59
2002-07-12,24024.42
2002-07-15,23821.36
2002-07-16,23643.23
2002-07-17,23707.90
2002-07-18,23218.10
2002-07-19,22658.52
2002-07-22,21932.77
2002-07-23,21382.89
2002-07-24,22327.07
2002-07-25,22397.94
2002-07-26,22585.15
2002-07-29,23799.58
2002-07-30,23942.86
2002-07-31,23934.90
2002-08-01,23476.80
2002-08-02,22763.38
2002-08-05,22126.74
2002-08-06,22779.16
2002-08-07,22998.92
2002-08-08,23474.87
2002-08-09,23553.89
2002-08-12,23517.46
2002-08-13,23034.25
2002-08-14,23644.48
2002-08-15,24046.25
2002-08-16,24135.40
2002-08-19,24479.16
2002-08-20,24268.55
2002-08-21,24615.04
2002-08-22,24895.22
2002-08-23,24452.53
2002-08-26,24718.21
2002-08-27,24350.92
2002-08-28,23926.01
2002-08-29,24047.92
2002-08-30,23989.59
2002-09-02,.
2002-09-03,23303.65
2002-09-04,23692.16
2002-09-05,23328.32
2002-09-06,23817.24
2002-09-09,23949.36
2002-09-10,24014.67
2002-09-11,24022.84
2002-09-12,23499.13
2002-09-13,23606.71
2002-09-16,23516.53
2002-09-17,23093.16
2002-09-18,22950.75
2002-09-19,22425.85
2002-09-20,22471.95
2002-09-23,22077.11
2002-09-24,21763.41
2002-09-25,22270.43
2002-09-26,22637.26
2002-09-27,22151.94
2002-09-30,21966.94
2002-10-01,22394.06
2002-10-02,21834.01
2002-10-03,21550.07
2002-10-04,21001.93
2002-10-07,20450.72
2002-10-08,20672.34
2002-10-09,20023.54
2002-10-10,20742.70
2002-10-11,21448.58
2002-10-14,21558.79
2002-10-15,22401.11
2002-10-16,21781.92
2002-10-17,22401.32
2002-10-18,22453.11
2002-10-21,22885.59
2002-10-22,22529.04
2002-10-23,22787.22
2002-10-24,22567.73
2002-10-25,22912.81
2002-10-28,22660.78
2002-10-29,22407.88
2002-10-30,22643.73
2002-10-31,22666.96
2002-11-01,23103.93
2002-11-04,23241.56
2002-11-05,23222.22
2002-11-06,23569.74
2002-11-07,23049.90
