Date,PX_LAST
2018-07-31,100
2018-08-31,100.6634
2018-09-28,100.0007
2018-10-31,99.2194
2018-11-30,99.8365
2018-12-31,101.6751
2019-01-31,102.7253
2019-02-28,102.6787
2019-03-29,104.637
2019-04-30,104.6673
2019-05-31,106.5316
2019-06-28,107.8806
2019-07-31,108.1343
2019-08-30,110.9248
2019-09-30,110.3387
2019-10-31,110.67
2019-11-29,110.6284
2019-12-31,110.5445
2020-01-31,112.6704
2020-02-28,114.7284
2020-03-31,114.1699
2020-04-30,116.2491
2020-05-29,116.78
2020-06-30,117.4985
2020-07-31,119.2565
2020-08-31,118.2876
2020-09-30,118.2489
2020-10-30,117.7216
2020-11-30,118.8682
2020-12-31,119.0185
2021-01-29,118.1664
2021-02-26,116.4821
2021-03-31,115.0264
2021-04-30,115.9359
2021-05-31,116.313
2021-06-30,117.1409
2021-07-30,118.4627
2021-08-31,118.2301
2021-09-30,117.188
2021-10-29,117.1635
2021-11-30,117.5275
2021-12-31,117.2127
2022-01-31,114.6927
2022-02-28,113.4011
2022-03-31,110.2762
2022-04-29,106.1222
2022-05-31,106.7562
2022-06-30,105.0469
2022-07-29,107.6059
2022-08-31,104.5892
2022-09-30,100.0499
2022-10-31,98.757
2022-11-30,102.4036
2022-12-30,101.9409
2023-01-31,105.0708
2023-02-28,102.3584
2023-03-31,104.9587
2023-04-28,105.5941
2023-05-31,104.4485
2023-06-30,104.0755
2023-07-31,104.0056
2023-08-31,103.3428
2023-09-29,100.7199
