Date,PX_LAST
2014-11-28,1143.04361
2014-12-31,1121.96084
2015-01-30,1239.10572
2015-02-27,1290.50681
2015-03-31,1289.50922
2015-04-30,1281.4144
2015-05-29,1312.24814
2015-06-30,1276.89353
2015-07-31,1360.41329
2015-08-31,1277.42102
2015-09-30,1230.48084
2015-10-30,1294.85558
2015-11-30,1306.38829
2015-12-31,1335.85673
2016-01-29,1254.70009
2016-02-29,1187.92671
2016-03-31,1214.28669
2016-04-29,1208.95712
2016-05-31,1254.20454
2016-06-30,1196.04141
2016-07-29,1270.22964
2016-08-31,1275.90291
2016-09-30,1287.81615
2016-10-31,1288.21532
2016-11-30,1262.28871
2016-12-30,1310.33804
2017-01-31,1304.85288
2017-02-28,1350.12883
2017-03-31,1389.21071
2017-04-28,1462.34021
2017-05-31,1499.34016
2017-06-30,1441.71045
2017-07-31,1428.94633
2017-08-31,1433.46979
2017-09-29,1466.36882
2017-10-31,1538.66132
2017-11-30,1556.02846
2017-12-29,1531.31951
2018-01-31,1575.98342
2018-02-28,1566.59559
2018-03-30,1549.75892
2018-04-30,1581.02036
2018-05-31,1559.84021
2018-06-29,1563.74366
2018-07-31,1584.79411
2018-08-31,1564.98731
2018-09-28,1566.07445
2018-10-31,1463.3196
2018-11-30,1480.94407
2018-12-31,1437.95053
2019-01-31,1481.59758
2019-02-28,1519.4457
2019-03-29,1553.59829
2019-04-30,1605.91361
2019-05-31,1540.22266
2019-06-28,1580.91559
2019-07-31,1568.59023
2019-08-30,1550.38052
2019-09-30,1592.17199
2019-10-31,1643.65345
2019-11-29,1675.06209
2019-12-31,1691.49542
2020-01-31,1689.95269
2020-02-28,1564.28266
2020-03-31,1434.84439
2020-04-30,1496.36461
2020-05-29,1545.91456
2020-06-30,1577.56338
2020-07-31,1592.22635
2020-08-31,1629.32402
2020-09-30,1617.15339
2020-10-30,1556.31449
2020-11-30,1753.20568
2020-12-31,1808.15309
2021-01-29,1790.57637
2021-02-26,1819.39356
2021-03-31,1841.26682
2021-04-30,1855.73878
2021-05-31,1883.22588
2021-06-30,1913.65358
2021-07-30,1936.78118
2021-08-31,2000.53415
2021-09-30,1952.71394
2021-10-29,1957.67177
2021-11-30,1923.31142
2021-12-31,2000.14336
2022-01-31,1909.16335
2022-02-28,1866.23859
2022-03-31,1847.06764
2022-04-29,1778.09728
2022-05-31,1758.43528
2022-06-30,1628.01323
2022-07-29,1704.17537
2022-08-31,1656.10894
2022-09-30,1579.83406
2022-10-31,1643.745
2022-11-30,1816.35077
2022-12-30,1816.88146
2023-01-31,1936.93487
2023-02-28,1939.61637
2023-03-31,1973.54121
2023-04-28,2033.86112
2023-05-31,1959.46166
2023-06-30,1990.08874
2023-07-31,2044.70486
2023-08-31,2022.46657
2023-09-29,1950.51251
