Date,PX_LAST
2014-11-28,1139.61765
2014-12-31,1110.25178
2015-01-30,1231.23816
2015-02-27,1251.44813
2015-03-31,1252.08317
2015-04-30,1280.40489
2015-05-29,1263.71195
2015-06-30,1233.1668
2015-07-31,1202.66344
2015-08-31,1103.48126
2015-09-30,1094.68336
2015-10-30,1148.10902
2015-11-30,1133.22897
2015-12-31,1152.46953
2016-01-29,1092.68635
2016-02-29,1057.85607
2016-03-31,1152.7703
2016-04-29,1117.69398
2016-05-31,1124.60908
2016-06-30,1165.78728
2016-07-29,1237.27509
2016-08-31,1276.44292
2016-09-30,1289.17571
2016-10-31,1318.42119
2016-11-30,1256.41851
2016-12-30,1266.23093
2017-01-31,1298.89814
2017-02-28,1363.60917
2017-03-31,1405.38682
2017-04-28,1470.71619
2017-05-31,1501.77421
2017-06-30,1459.37612
2017-07-31,1481.00777
2017-08-31,1520.62589
2017-09-29,1510.7806
2017-10-31,1607.60611
2017-11-30,1618.24574
2017-12-29,1634.22775
2018-01-31,1739.87675
2018-02-28,1728.93157
2018-03-30,1702.41059
2018-04-30,1677.30229
2018-05-31,1627.31765
2018-06-29,1577.51568
2018-07-31,1596.11974
2018-08-31,1563.08562
2018-09-28,1538.31512
2018-10-31,1433.01936
2018-11-30,1518.8924
2018-12-31,1516.90842
2019-01-31,1596.74865
2019-02-28,1600.96796
2019-03-29,1636.72365
2019-04-30,1678.02724
2019-05-31,1578.22916
2019-06-28,1617.7318
2019-07-31,1609.95304
2019-08-30,1551.15863
2019-09-30,1572.05891
2019-10-31,1629.44639
2019-11-29,1644.56529
2019-12-31,1726.43479
2020-01-31,1682.76662
2020-02-28,1620.94421
2020-03-31,1444.60294
2020-04-30,1546.78759
2020-05-29,1536.49819
2020-06-30,1637.73248
2020-07-31,1769.19703
2020-08-31,1756.65306
2020-09-30,1764.0669
2020-10-30,1811.96976
2020-11-30,1921.64714
2020-12-31,2036.12573
2021-01-29,2106.9257
2021-02-26,2096.19482
2021-03-31,2046.99253
2021-04-30,2052.71783
2021-05-31,2069.89853
2021-06-30,2136.26303
2021-07-30,2017.10022
2021-08-31,2099.11164
2021-09-30,2018.33949
2021-10-29,1991.36658
2021-11-30,1971.11359
2021-12-31,1971.81719
2022-01-31,1944.02698
2022-02-28,1873.20049
2022-03-31,1810.71631
2022-04-29,1744.94739
2022-05-31,1720.04106
2022-06-30,1630.67902
2022-07-29,1610.61318
2022-08-31,1641.65991
2022-09-30,1521.43667
2022-10-31,1466.31661
2022-11-30,1671.60193
2022-12-30,1642.0238
2023-01-31,1749.09734
2023-02-28,1665.22157
2023-03-31,1705.97919
2023-04-28,1684.084
2023-05-31,1673.37498
2023-06-30,1688.29821
2023-07-31,1791.93554
2023-08-31,1722.95638
2023-09-29,1674.78236
