Date,PX_LAST
2014-11-28,1144.21972
2014-12-31,1158.61438
2015-01-30,1232.03139
2015-02-27,1279.7637
2015-03-31,1279.10776
2015-04-30,1230.31141
2015-05-29,1284.45905
2015-06-30,1259.60523
2015-07-31,1338.47133
2015-08-31,1274.8115
2015-09-30,1259.73791
2015-10-30,1330.78865
2015-11-30,1366.11702
2015-12-31,1389.97696
2016-01-29,1333.9253
2016-02-29,1284.5006
2016-03-31,1317.65845
2016-04-29,1281.1066
2016-05-31,1359.64586
2016-06-30,1351.22991
2016-07-29,1412.98308
2016-08-31,1424.82487
2016-09-30,1423.49136
2016-10-31,1425.16884
2016-11-30,1476.0462
2016-12-30,1509.50614
2017-01-31,1490.64171
2017-02-28,1579.24743
2017-03-31,1587.0091
2017-04-28,1650.33554
2017-05-31,1657.38757
2017-06-30,1602.97605
2017-07-31,1571.19862
2017-08-31,1581.23568
2017-09-29,1603.22947
2017-10-31,1699.65426
2017-11-30,1746.86925
2017-12-29,1711.78859
2018-01-31,1780.47827
2018-02-28,1784.54685
2018-03-30,1753.77942
2018-04-30,1753.23278
2018-05-31,1811.08685
2018-06-29,1853.46209
2018-07-31,1905.39701
2018-08-31,1977.16112
2018-09-28,1967.39565
2018-10-31,1853.00561
2018-11-30,1919.251
2018-12-31,1786.81076
2019-01-31,1863.87932
2019-02-28,1928.19925
2019-03-29,1998.91187
2019-04-30,2088.75118
2019-05-31,1969.2648
2019-06-28,2043.51485
2019-07-31,2084.35055
2019-08-30,2068.18712
2019-09-30,2098.51048
2019-10-31,2136.8586
2019-11-29,2238.93213
2019-12-31,2255.59716
2020-01-31,2313.30452
2020-02-28,2156.93071
2020-03-31,2000.04442
2020-04-30,2221.27156
2020-05-29,2317.35307
2020-06-30,2341.2712
2020-07-31,2442.20075
2020-08-31,2555.54077
2020-09-30,2505.11689
2020-10-30,2447.65314
2020-11-30,2661.69949
2020-12-31,2722.03546
2021-01-29,2713.83911
2021-02-26,2763.30659
2021-03-31,2837.79902
2021-04-30,2916.76793
2021-05-31,2882.48887
2021-06-30,3045.33142
2021-07-30,3129.76543
2021-08-31,3264.20231
2021-09-30,3123.55493
2021-10-29,3268.88842
2021-11-30,3338.9621
2021-12-31,3424.29301
2022-01-31,3233.54824
2022-02-28,3128.40276
2022-03-31,3181.5582
2022-04-29,2970.80629
2022-05-31,2925.25832
2022-06-30,2730.9158
2022-07-29,2973.99959
2022-08-31,2916.96494
2022-09-30,2780.55994
2022-10-31,2971.95856
2022-11-30,3115.03687
2022-12-30,2926.4037
2023-01-31,3068.18449
2023-02-28,3056.11505
2023-03-31,3138.91008
2023-04-28,3183.22115
2023-05-31,3208.01774
2023-06-30,3321.3283
2023-07-31,3420.28148
2023-08-31,3462.2262
2023-09-29,3289.9437
