Date,PX_LAST
2013-11-29,1066.71651
2013-12-31,1094.76796
2014-01-31,1122.96658
2014-02-28,1174.66007
2014-03-31,1169.0014
2014-04-30,1127.31345
2014-05-30,1126.47052
2014-06-30,1160.12162
2014-07-31,1126.02999
2014-08-29,1179.0156
2014-09-30,1151.79348
2014-10-31,1218.45256
2014-11-28,1246.53268
2014-12-31,1283.79201
2015-01-30,1375.06105
2015-02-27,1434.89488
2015-03-31,1475.87514
2015-04-30,1384.54162
2015-05-29,1457.5277
2015-06-30,1451.64557
2015-07-31,1506.53206
2015-08-31,1435.28034
2015-09-30,1385.24468
2015-10-30,1428.3817
2015-11-30,1489.79287
2015-12-31,1474.66632
2016-01-29,1375.19611
2016-02-29,1338.81888
2016-03-31,1393.43944
2016-04-29,1371.67143
2016-05-31,1464.43892
2016-06-30,1451.24948
2016-07-29,1540.26682
2016-08-31,1562.90757
2016-09-30,1568.98733
2016-10-31,1537.54278
2016-11-30,1674.40463
2016-12-30,1717.75734
2017-01-31,1685.39097
2017-02-28,1753.09832
2017-03-31,1755.80577
2017-04-28,1817.74267
2017-05-31,1777.01397
2017-06-30,1754.75023
2017-07-31,1708.66186
2017-08-31,1700.93435
2017-09-29,1782.26578
2017-10-31,1870.05081
2017-11-30,1922.19998
2017-12-29,1873.26879
2018-01-31,1896.26497
2018-02-28,1891.10245
2018-03-30,1922.19157
2018-04-30,1919.7486
2018-05-31,2047.21643
2018-06-29,2099.21706
2018-07-31,2114.59994
2018-08-31,2219.80838
2018-09-28,2156.72428
2018-10-31,1968.22627
2018-11-30,2029.95093
2018-12-31,1842.42802
2019-01-31,1988.43767
2019-02-28,2089.57112
2019-03-29,2102.02758
2019-04-30,2183.82042
2019-05-31,2038.66186
2019-06-28,2111.59976
2019-07-31,2149.71686
2019-08-30,2086.48797
2019-09-30,2117.19618
2019-10-31,2144.40569
2019-11-29,2244.91036
2019-12-31,2257.97733
2020-01-31,2238.13408
2020-02-28,2068.59516
2020-03-31,1707.95184
2020-04-30,1928.40041
2020-05-29,2031.23061
2020-06-30,2066.45947
2020-07-31,2120.09319
2020-08-31,2163.61563
2020-09-30,2147.3039
2020-10-30,2211.83296
2020-11-30,2508.80448
2020-12-31,2664.91142
2021-01-29,2785.5231
2021-02-26,2939.26864
2021-03-31,2967.45431
2021-04-30,3009.03715
2021-05-31,2955.4621
2021-06-30,3077.35771
2021-07-30,3034.15703
2021-08-31,3126.488
2021-09-30,3051.93397
2021-10-29,3117.594
2021-11-30,3089.62508
2021-12-31,3155.96345
2022-01-31,2925.0097
2022-02-28,2954.5023
2022-03-31,2944.02948
2022-04-29,2762.17885
2022-05-31,2719.9228
2022-06-30,2519.20486
2022-07-29,2771.22279
2022-08-31,2756.05227
2022-09-30,2638.89012
2022-10-31,2874.97845
2022-11-30,2973.05438
2022-12-30,2794.52679
2023-01-31,3035.69746
2023-02-28,3059.30416
2023-03-31,2897.39741
2023-04-28,2860.16315
2023-05-31,2816.30008
2023-06-30,2969.51363
2023-07-31,3107.47977
2023-08-31,3071.85351
2023-09-29,2888.97242
