Date,PX_LAST
2005-12-31,66.33
2006-01-31,66.13
2006-02-28,66.24
2006-03-31,65.52
2006-04-30,65.23
2006-05-31,65.26
2006-06-30,65.46
2006-07-31,66.27
2006-08-31,67.26
2006-09-30,67.88
2006-10-31,68.23
2006-11-30,68.95
2006-12-31,68.37
2007-01-31,68.26
2007-02-28,69.4
2007-03-31,69.36
2007-04-30,69.72
2007-05-31,69.09
2007-06-30,69.05
2007-07-31,70.22
2007-08-31,71.34
2007-09-30,71.72
2007-10-31,72.29
2007-11-30,74.51
2007-12-31,74.59
2008-01-31,76.5
2008-02-29,77.35
2008-03-31,77.91
2008-04-30,76.57
2008-05-31,75.64
2008-06-30,76.27
2008-07-31,76.58
2008-08-31,77.54
2008-09-30,78.06
2008-10-31,78
2008-11-30,82.08
2008-12-31,84.92
2009-01-31,82.4
2009-02-28,81.97
2009-03-31,83.79
2009-04-30,82.25
2009-05-31,81.42
2009-06-30,81.25
2009-07-31,81.57
2009-08-31,82.32
2009-09-30,82.95
2009-10-31,82.91
2009-11-30,84.06
2009-12-31,81.86
2010-01-31,83.17
2010-02-28,83.49
2010-03-31,82.79
2010-04-30,83.65
2010-05-31,85.09
2010-06-30,86.67
2010-07-31,87.26
2010-08-31,89.03
2010-09-30,89.04
2010-10-31,88.9
2010-11-30,88.29
2010-12-31,86.7
2011-01-31,86.68
2011-02-28,86.62
2011-03-31,86.56
2011-04-30,87.56
2011-05-31,88.92
2011-06-30,88.62
2011-07-31,90.23
2011-08-31,92.75
2011-09-30,94.38
2011-10-31,93.6
2011-11-30,94.29
2011-12-31,95.19
2012-01-31,95.57
2012-02-29,94.9
2012-03-31,93.98
2012-04-30,95.32
2012-05-31,96.93
2012-06-30,96.61
2012-07-31,97.56
2012-08-31,97.45
2012-09-30,97.15
2012-10-31,96.99
2012-11-30,97.49
2012-12-31,97.08
2013-01-31,96.3
2013-02-28,96.81
2013-03-31,96.9
2013-04-30,97.76
2013-05-31,96.09
2013-06-30,95.07
2013-07-31,94.94
2013-08-31,94.5
2013-09-30,95.15
2013-10-31,95.6
2013-11-30,95.3
2013-12-31,94.44
2014-01-31,95.71
2014-02-28,95.96
2014-03-31,95.69
2014-04-30,96.22
2014-05-31,97.12
2014-06-30,96.98
2014-07-31,96.83
2014-08-31,97.84
2014-09-30,97.31
2014-10-31,98.25
2014-11-30,99.05
2014-12-31,99.21
2015-01-31,101.79
2015-02-28,100.19
2015-03-31,100.82
2015-04-30,100.29
2015-05-31,100.1
2015-06-30,99.21
2015-07-31,100.04
2015-08-31,100.08
2015-09-30,100.95
2015-10-31,100.59
2015-11-30,100.18
2015-12-31,100
2016-01-31,102.14
2016-02-29,103.05
2016-03-31,103.21
2016-04-30,103.09
2016-05-31,103.1
2016-06-30,105.41
2016-07-31,105.8
2016-08-31,105.21
2016-09-30,105.07
2016-10-31,103.92
2016-11-30,101.15
2016-12-31,101.05
2017-01-31,101.27
2017-02-28,101.77
2017-03-31,101.73
2017-04-30,102.43
2017-05-31,103.1
2017-06-30,102.93
2017-07-31,103.1
2017-08-31,104.22
2017-09-30,103.33
2017-10-31,103.2
2017-11-30,103.06
2017-12-31,103.38
2018-01-31,101.97
2018-02-28,101.2
2018-03-31,102.16
2018-04-30,101.34
2018-05-31,102.25
2018-06-30,102.27
2018-07-31,101.83
2018-08-31,102.62
2018-09-30,101.66
2018-10-31,101.18
2018-11-30,101.98
2018-12-31,104.27
2019-01-31,104.75
2019-02-28,104.48
2019-03-31,106.48
2019-04-30,106.17
2019-05-31,108.68
2019-06-30,109.68
2019-07-31,109.55
2019-08-31,113.29
2019-09-30,112.31
2019-10-31,112.38
2019-11-30,112.05
2019-12-31,111.42
2020-01-31,114.16
2020-02-29,117.19
2020-03-31,120.9
2020-04-30,121.37
2020-05-31,121.03
2020-06-30,121.16
2020-07-31,122.54
2020-08-31,121.17
2020-09-30,121.37
2020-10-31,120.22
2020-11-30,120.65
2020-12-31,120.36
2021-01-31,119.28
2021-02-28,117.07
2021-03-31,115.28
2021-04-30,116.16
2021-05-31,116.38
2021-06-30,117.32
2021-07-31,118.89
2021-08-31,118.69
2021-09-30,117.4
2021-10-31,117.31
2021-11-30,118.23
2021-12-31,117.49
2022-01-31,115.41
2022-02-28,114.63
2022-03-31,111.09
2022-04-30,107.65
2022-05-31,107.83
2022-06-30,106.89
2022-07-31,108.61
2022-08-31,105.88
2022-09-30,102.25
2022-10-31,100.81
2022-11-30,103.5
2022-12-31,102.99
2023-01-31,105.55
2023-02-28,103.08
2023-03-31,106.07
2023-04-30,106.64
2023-05-31,105.39
2023-06-30,104.6
2023-07-31,104.24
2023-08-31,103.7
2023-09-30,101.4
,
,
,
,
,
,
,
,
,
,
,
