Date,PX_LAST
2000-11-30,959.54
2000-12-29,974.99
2001-01-31,990.17
2001-02-28,995.84
2001-03-30,1001.62
2001-04-30,1003.01
2001-05-31,1009.66
2001-06-29,1011.82
2001-07-31,1029.79
2001-08-31,1038.87
2001-09-28,1054.43
2001-10-31,1069.01
2001-11-30,1059.13
2001-12-31,1055.14
2002-01-31,1064.91
2002-02-28,1077.03
2002-03-29,1065.63
2002-04-30,1085.8
2002-05-31,1093.68
2002-06-28,1102.7
2002-07-31,1115.32
2002-08-30,1124.09
2002-09-30,1132.07
2002-10-31,1136.4
2002-11-29,1135.59
2002-12-31,1147.45
2003-01-31,1150.25
2003-02-28,1157.96
2003-03-31,1158.06
2003-04-30,1162.9
2003-05-30,1163.86
2003-06-30,1165.76
2003-07-31,1143.93
2003-08-29,1152.06
2003-09-30,1171.69
2003-10-31,1167.63
2003-11-28,1170.07
2003-12-31,1182.64
2004-01-30,1190.05
2004-02-27,1200.08
2004-03-31,1205.34
2004-04-30,1183.88
2004-05-31,1181.29
2004-06-30,1191.74
2004-07-30,1202.42
2004-08-31,1220.96
2004-09-30,1222.82
2004-10-29,1232.67
2004-11-30,1229.6
2004-12-31,1238.26
2005-01-31,1244.85
2005-02-28,1239.08
2005-03-31,1236.78
2005-04-29,1250.47
2005-05-31,1260.32
2005-06-30,1264.89
2005-07-29,1258.55
2005-08-31,1269.7
2005-09-30,1263.02
2005-10-31,1254.22
2005-11-30,1258.3
2005-12-30,1270.61
2006-01-31,1274.7
2006-02-28,1280.64
2006-03-31,1269.78
2006-04-28,1269.85
2006-05-31,1267.44
2006-06-30,1269.89
2006-07-31,1288.08
2006-08-31,1306.8
2006-09-29,1315.94
2006-10-31,1325.48
2006-11-30,1340.68
2006-12-29,1336.99
2007-01-31,1337.85
2007-02-28,1354.35
2007-03-30,1357.92
2007-04-30,1364.62
2007-05-31,1356.78
2007-06-29,1351.08
2007-07-31,1360.23
2007-08-31,1376.24
2007-09-28,1386.81
2007-10-31,1400.82
2007-11-30,1425.24
2007-12-31,1429.28
2008-01-31,1455.66
2008-02-29,1455.9
2008-03-31,1464.08
2008-04-30,1465.48
2008-05-30,1457.71
2008-06-30,1456.88
2008-07-31,1454.85
2008-08-29,1473.05
2008-09-30,1484.13
2008-10-31,1465.48
2008-11-28,1523.05
2008-12-31,1548.48
2009-01-30,1551.41
2009-02-27,1560.35
2009-03-31,1582.47
2009-04-30,1586.97
2009-05-29,1591.61
2009-06-30,1593.6
2009-07-31,1606.64
2009-08-31,1617.37
2009-09-30,1630.37
2009-10-30,1642.02
2009-11-30,1663.08
2009-12-31,1639.67
2010-01-29,1661.42
2010-02-26,1664.37
2010-03-31,1664.92
2010-04-30,1674.95
2010-05-31,1693.71
2010-06-30,1712.72
2010-07-30,1727.41
2010-08-31,1730.07
2010-09-30,1723.47
2010-10-29,1740.35
2010-11-30,1737.22
2010-12-31,1727.67
2011-01-31,1728.56
2011-02-28,1732.9
2011-03-31,1737.73
2011-04-29,1756.8
2011-05-31,1775.67
2011-06-30,1777.33
2011-07-29,1793.85
2011-08-31,1816.19
2011-09-30,1819.29
2011-10-31,1819.24
2011-11-30,1822.55
2011-12-30,1835.33
2012-01-31,1842.81
2012-02-29,1844.51
2012-03-30,1845.71
2012-04-30,1857.68
2012-05-31,1863.56
2012-06-29,1865.72
2012-07-31,1880.72
2012-08-31,1882.83
2012-09-28,1886.74
2012-10-31,1883.58
2012-11-30,1880.34
2012-12-31,1882.91
2013-01-31,1873.49
2013-02-28,1879.84
2013-03-29,1882.03
2013-04-30,1892.04
2013-05-31,1863.03
2013-06-28,1845.11
2013-07-31,1843.45
2013-08-30,1838.18
2013-09-30,1864.06
2013-10-31,1876.76
2013-11-29,1865.08
2013-12-31,1856.28
2014-01-31,1885.3
2014-02-28,1891.79
2014-03-31,1885.71
2014-04-30,1903.14
2014-05-30,1926.04
2014-06-30,1931.09
2014-07-31,1919.76
2014-08-29,1937.74
2014-09-30,1934.61
2014-10-31,1953.34
2014-11-28,1966.13
2014-12-31,1969.17
2015-01-30,1985.88
2015-02-27,1982.65
2015-03-31,1989.99
2015-04-30,1990.82
2015-05-29,1990.36
2015-06-30,1975.18
2015-07-31,1987.63
2015-08-31,1989.31
2015-09-30,2000.94
2015-10-30,2002.26
2015-11-30,1999.54
2015-12-31,1998.89
2016-01-29,2024.83
2016-02-29,2032.39
2016-03-31,2038.4
2016-04-29,2041.7
2016-05-31,2044.34
2016-06-30,2060.95
2016-07-29,2065.17
2016-08-31,2067.55
2016-09-30,2073.24
2016-10-31,2067.79
2016-11-30,2032.37
2016-12-30,2032.34
2017-01-31,2031.65
2017-02-28,2041.37
2017-03-31,2041.95
2017-04-28,2055.27
2017-05-31,2068.03
2017-06-30,2059.72
2017-07-31,2069.03
2017-08-31,2084.15
2017-09-29,2079.48
2017-10-31,2078.83
2017-11-30,2075.83
2017-12-29,2082.61
2018-01-31,2058.2
2018-02-28,2044.7
2018-03-30,2057.76
2018-04-30,2047.42
2018-05-31,2061.73
2018-06-29,2062.73
2018-07-31,2060.55
2018-08-31,2073.03
2018-09-28,2060.3
2018-10-31,2047.31
2018-11-30,2065.76
2018-12-31,2103.22
2019-01-31,2119.9
2019-02-28,2117.97
2019-03-29,2148.8
2019-04-30,2147.53
2019-05-31,2175.29
2019-06-28,2190.94
2019-07-31,2199.79
2019-08-30,2219.44
2019-09-30,2221
2019-10-31,2228.84
2019-11-29,2230.64
2019-12-31,2236.82
2020-01-31,2252.45
2020-02-28,2275.8
2020-03-31,2299.88
2020-04-30,2314.48
2020-05-29,2317.31
2020-06-30,2315.19
2020-07-31,2319.32
2020-08-31,2320.23
2020-09-30,2317.75
2020-10-30,2316.82
2020-11-30,2318.44
2020-12-31,2323.43
2021-01-29,2325.22
2021-02-26,2309.69
2021-03-31,2297.87
2021-04-30,2310.55
2021-05-31,2306.5
2021-06-30,2305.54
2021-07-30,2319.95
2021-08-31,2316.16
2021-09-30,2307.8
2021-10-29,2303.41
2021-11-30,2301.27
2021-12-31,2299.2
2022-01-31,2265.1
2022-02-28,2243.2
2022-03-31,2184.86
2022-04-29,2108.17
2022-05-31,2131.48
2022-06-30,2097.35
2022-07-29,2164.78
2022-08-31,2090.76
2022-09-30,1985.15
2022-10-31,1956.87
2022-11-30,2036.63
2022-12-30,2027.65
2023-01-31,2094.45
2023-02-28,2039.15
2023-03-31,2078.87
2023-04-28,2089.63
2023-05-31,2074.32
2023-06-30,2065.47
2023-07-31,2063.93
2023-08-31,2046.95
2023-09-29,1981.73
