Date,PX_LAST
1999-12-31,1364.98
2000-01-31,1352.69
2000-02-29,1340.62
2000-03-31,1378.75
2000-04-28,1216.57
2000-05-31,1168.91
2000-06-30,1205.27
2000-07-31,1140.2
2000-08-31,1148.12
2000-09-29,1005.94
2000-10-31,921.73
2000-11-30,846.31
2000-12-29,842.28
2001-01-31,977.18
2001-02-28,913.56
2001-03-30,855.72
2001-04-30,876.61
2001-05-31,876.75
2001-06-29,865.55
2001-07-31,800.38
2001-08-31,791.48
2001-09-28,666.87
2001-10-31,710.49
2001-11-30,788.72
2001-12-31,866.23
2002-01-31,901.01
2002-02-28,922.63
2002-03-29,994.08
2002-04-30,1013.86
2002-05-31,996.18
2002-06-28,919.29
2002-07-31,860.54
2002-08-30,868.48
2002-09-30,769.81
2002-10-31,819.24
2002-11-29,860.22
2002-12-31,834.56
2003-01-31,847.23
2003-02-28,819.62
2003-03-31,789.06
2003-04-30,850.55
2003-05-30,913.26
2003-06-30,972.21
2003-07-31,1026.28
2003-08-29,1096.83
2003-09-30,1110.98
2003-10-31,1187.61
2003-11-28,1190.71
2003-12-31,1279.61
2004-01-30,1332.46
2004-02-27,1403.4
2004-03-31,1417.6
2004-04-30,1312.71
2004-05-31,1264.48
2004-06-30,1275.27
2004-07-30,1247.88
2004-08-31,1302.93
2004-09-30,1379.67
2004-10-29,1416.32
2004-11-30,1530.19
2004-12-31,1610.49
2005-01-31,1607.79
2005-02-28,1739.39
2005-03-31,1629.73
2005-04-29,1583.68
2005-05-31,1640.9
2005-06-30,1703.91
2005-07-29,1820.25
2005-08-31,1829.6
2005-09-30,2004.25
2005-10-31,1871.09
2005-11-30,2033.45
2005-12-30,2173.95
2006-01-31,2409.78
2006-02-28,2413.36
2006-03-31,2445.55
2006-04-28,2644.1
2006-05-31,2379.12
2006-06-30,2367.78
2006-07-31,2399.37
2006-08-31,2467.97
2006-09-29,2496.45
2006-10-31,2617.73
2006-11-30,2813.68
2006-12-29,2958.29
2007-01-31,2920.61
2007-02-28,2910.66
2007-03-30,3028.41
2007-04-30,3179.52
2007-05-31,3347.74
2007-06-29,3508.68
2007-07-31,3714.83
2007-08-31,3615.18
2007-09-28,3989.25
2007-10-31,4415.02
2007-11-30,4099.02
2007-12-31,4123.67
2008-01-31,3588.46
2008-02-29,3849.83
2008-03-31,3645.31
2008-04-30,3933.13
2008-05-30,3988.59
2008-06-30,3575.52
2008-07-31,3463.43
2008-08-29,3190.99
2008-09-30,2593.82
2008-10-31,1880.95
2008-11-28,1747.31
2008-12-31,1905.15
2009-01-30,1779.74
2009-02-27,1683.76
2009-03-31,1922.89
2009-04-30,2259.63
2009-05-29,2676.34
2009-06-30,2644.46
2009-07-31,2935.43
2009-08-31,2938.67
2009-09-30,3212.98
2009-10-30,3218.57
2009-11-30,3355.21
2009-12-31,3501.84
2010-01-29,3314.66
2010-02-26,3320.94
2010-03-31,3599
2010-04-30,3660.53
2010-05-31,3335.07
2010-06-30,3331.45
2010-07-30,3602.77
2010-08-31,3552.15
2010-09-30,3950.64
2010-10-29,4072.29
2010-11-30,3977.93
2010-12-31,4266.98
2011-01-31,4147.24
2011-02-28,4095.19
2011-03-31,4332.55
2011-04-29,4474.75
2011-05-31,4359.53
2011-06-30,4298.31
2011-07-29,4299.39
2011-08-31,3910.96
2011-09-30,3342.18
2011-10-31,3766.48
2011-11-30,3509.93
2011-12-30,3474.79
2012-01-31,3864.51
2012-02-29,4098.74
2012-03-30,3971.22
2012-04-30,3921.63
2012-05-31,3490.36
2012-06-29,3625.14
2012-07-31,3693.78
2012-08-31,3698.28
2012-09-28,3928.7
2012-10-31,3896.49
2012-11-30,3950.13
2012-12-31,4158.91
2013-01-31,4227.42
2013-02-28,4181.68
2013-03-29,4110.87
2013-04-30,4161.97
2013-05-31,4062.86
2013-06-28,3793.9
2013-07-31,3830.88
2013-08-30,3756
2013-09-30,4001.21
2013-10-31,4194.59
2013-11-29,4107.01
2013-12-31,4082.41
2014-01-31,3827.26
2014-02-28,3950.61
2014-03-31,4065.73
2014-04-30,4083.12
2014-05-30,4230.41
2014-06-30,4354.81
2014-07-31,4432.06
2014-08-29,4536.45
2014-09-30,4220.53
2014-10-31,4266.34
2014-11-28,4224.07
2014-12-31,4044.73
2015-01-30,4088.72
2015-02-27,4195.2
2015-03-31,4154.28
2015-04-30,4478.31
2015-05-29,4326.44
