Date,PX_LAST
1999-12-31,489.42
2000-01-31,491.39
2000-02-29,497.74
2000-03-31,499.4
2000-04-28,451.36
2000-05-31,431.7
2000-06-30,445.52
2000-07-31,422.08
2000-08-31,423.56
2000-09-29,386.03
2000-10-31,357.85
2000-11-30,326.36
2000-12-29,333.79
2001-01-31,379.02
2001-02-28,349.02
2001-03-30,313.14
2001-04-30,327.71
2001-05-31,330.54
2001-06-29,322.89
2001-07-31,301.67
2001-08-31,298.17
2001-09-28,251.4
2001-10-31,266.86
2001-11-30,294.43
2001-12-31,317.4
2002-01-31,327.75
2002-02-28,332.77
2002-03-29,351.43
2002-04-30,352.84
2002-05-31,346.28
2002-06-28,319.75
2002-07-31,294.62
2002-08-30,298.89
2002-09-30,266.11
2002-10-31,283.16
2002-11-29,302.36
2002-12-31,292.09
2003-01-31,290.44
2003-02-28,281.29
2003-03-31,272.27
2003-04-30,295.17
2003-05-30,315.44
2003-06-30,332.68
2003-07-31,352.62
2003-08-29,375.52
2003-09-30,377.63
2003-10-31,409.11
2003-11-28,413.33
2003-12-31,442.78
2004-01-30,457.19
2004-02-27,477.73
2004-03-31,482.06
2004-04-30,441.3
2004-05-31,431.26
2004-06-30,432.2
2004-07-30,423.14
2004-08-31,439.75
2004-09-30,464.15
2004-10-29,474.27
2004-11-30,517.95
2004-12-31,542.17
2005-01-31,542.28
2005-02-28,588.68
2005-03-31,548.69
2005-04-29,531.99
2005-05-31,548.15
2005-06-30,565.17
2005-07-29,602.56
2005-08-31,606.23
2005-09-30,661.32
2005-10-31,617.41
2005-11-30,667.99
2005-12-30,706.48
2006-01-31,783.77
2006-02-28,782.11
2006-03-31,787.8
2006-04-28,841.58
2006-05-31,751
2006-06-30,747.54
2006-07-31,755.84
2006-08-31,773.12
2006-09-29,778.16
2006-10-31,814.44
2006-11-30,874.08
2006-12-29,912.65
2007-01-31,901.48
2007-02-28,895.54
2007-03-30,929.03
2007-04-30,969.93
2007-05-31,1014.79
2007-06-29,1059.69
2007-07-31,1112.77
2007-08-31,1086.98
2007-09-28,1204.9
2007-10-31,1337.45
2007-11-30,1242.06
2007-12-31,1245.59
2008-01-31,1088.72
2008-02-29,1167.66
2008-03-31,1104.58
2008-04-30,1191.53
2008-05-30,1210.04
2008-06-30,1087.12
2008-07-31,1041.86
2008-08-29,956.25
2008-09-30,786.92
2008-10-31,570.52
2008-11-28,526.97
2008-12-31,567.04
2009-01-30,529.53
2009-02-27,499.3
2009-03-31,569.97
2009-04-30,662.73
2009-05-29,773.12
2009-06-30,761.3
2009-07-31,844.02
2009-08-31,839.46
2009-09-30,914.05
2009-10-30,914.26
2009-11-30,953.13
2009-12-31,989.47
2010-01-29,933.59
2010-02-26,935.93
2010-03-31,1010.33
2010-04-30,1020.03
2010-05-31,926.4
2010-06-30,917.99
2010-07-30,991.41
2010-08-31,970.05
2010-09-30,1075.53
2010-10-29,1105.75
2010-11-30,1075.85
2010-12-31,1151.38
2011-01-31,1119.08
2011-02-28,1107.77
2011-03-31,1170.87
2011-04-29,1204.03
2011-05-31,1167.97
2011-06-30,1146.22
2011-07-29,1137.73
2011-08-31,1033.15
2011-09-30,880.43
2011-10-31,995
2011-11-30,928.32
2011-12-30,916.39
2012-01-31,1019.39
2012-02-29,1079.44
2012-03-30,1041.45
2012-04-30,1026.02
2012-05-31,906.3
2012-06-29,937.35
2012-07-31,952.49
2012-08-31,947.33
2012-09-28,1002.66
2012-10-31,995.33
2012-11-30,1007.02
2012-12-31,1055.2
2013-01-31,1069.01
2013-02-28,1054.62
2013-03-29,1034.9
2013-04-30,1039.45
2013-05-31,1008.88
2013-06-28,940.33
2013-07-31,947.55
2013-08-30,929.54
2013-09-30,987.46
2013-10-31,1034.42
2013-11-29,1018.28
2013-12-31,1002.69
2014-01-31,936.53
2014-02-28,966.42
2014-03-31,994.65
2014-04-30,995.28
2014-05-30,1027.69
2014-06-30,1050.78
2014-07-31,1065.77
2014-08-29,1087.88
2014-09-30,1005.33
2014-10-31,1016.07
2014-11-28,1004.72
2014-12-31,956.31
2015-01-30,961.61
2015-02-27,990.28
2015-03-31,974.57
2015-04-30,1047.78
2015-05-29,1004.22
2015-06-30,972.25
2015-07-31,901.68
2015-08-31,818.73
2015-09-30,792.05
2015-10-30,847.84
2015-11-30,814.3
2015-12-31,794.14
2016-01-29,742.37
2016-02-29,740.33
2016-03-31,836.8
2016-04-29,840.19
2016-05-31,807.45
2016-06-30,834.1
2016-07-29,873.47
2016-08-31,893.68
2016-09-30,903.46
2016-10-31,905.09
2016-11-30,862.83
2016-12-30,862.27
2017-01-31,909.23
2017-02-28,936.37
2017-03-31,958.37
2017-04-28,977.96
2017-05-31,1005.33
2017-06-30,1010.8
2017-07-31,1066.23
2017-08-31,1087.7
2017-09-29,1081.72
2017-10-31,1119.08
2017-11-30,1120.79
2017-12-29,1158.45
2018-01-31,1254.59
2018-02-28,1195.19
2018-03-30,1170.88
2018-04-30,1164.43
2018-05-31,1120.71
2018-06-29,1069.52
2018-07-31,1087.46
2018-08-31,1055.96
2018-09-28,1047.91
2018-10-31,955.92
2018-11-30,994.72
2018-12-31,965.78
2019-01-31,1049.93
2019-02-28,1050.95
2019-03-29,1058.13
2019-04-30,1079.24
2019-05-31,998
2019-06-28,1054.86
2019-07-31,1037.01
2019-08-30,984.33
2019-09-30,1001
2019-10-31,1041.98
2019-11-29,1040.05
2019-12-31,1114.66
2020-01-31,1062.34
2020-02-28,1005.52
2020-03-31,848.58
2020-04-30,924.94
2020-05-29,930.35
2020-06-30,995.1
2020-07-31,1078.92
2020-08-31,1101.5
2020-09-30,1082
2020-10-30,1103.46
2020-11-30,1205.07
2020-12-31,1291.26
2021-01-29,1329.57
2021-02-26,1339.26
2021-03-31,1316.43
2021-04-30,1347.61
2021-05-31,1376.21
2021-06-30,1374.64
2021-07-30,1277.8
2021-08-31,1308.67
2021-09-30,1253.1
2021-10-29,1264.75
2021-11-30,1212.42
2021-12-31,1232.01
2022-01-31,1208.23
2022-02-28,1171.31
2022-03-31,1141.79
2022-04-29,1076.19
2022-05-31,1077.67
2022-06-30,1000.67
2022-07-29,993.78
2022-08-31,994.11
2022-09-30,875.79
2022-10-31,848.16
2022-11-30,972.29
2022-12-30,956.38
2023-01-31,1031.5
2023-02-28,964.01
2023-03-31,990.28
2023-04-28,977.05
2023-05-31,958.53
2023-06-30,989.48
2023-07-31,1046.91
2023-08-31,980.33
2023-09-29,952.78
