Date,PX_LAST
1999-12-31,564.44
2000-01-31,554.13
2000-02-29,554.87
2000-03-31,560.15
2000-04-28,496.8
2000-05-31,473.67
2000-06-30,496.98
2000-07-31,466.53
2000-08-31,471.34
2000-09-29,424.13
2000-10-31,393.29
2000-11-30,356.6
2000-12-29,363.79
2001-01-31,417.59
2001-02-28,379.96
2001-03-30,339.28
2001-04-30,357.7
2001-05-31,359.25
2001-06-29,351.92
2001-07-31,327.59
2001-08-31,317.24
2001-09-28,266.16
2001-10-31,283.75
2001-11-30,315.23
2001-12-31,344.32
2002-01-31,349.76
2002-02-28,354.39
2002-03-29,373.91
2002-04-30,375.03
2002-05-31,366
2002-06-28,337.2
2002-07-31,306.31
2002-08-30,312.61
2002-09-30,278.91
2002-10-31,297.32
2002-11-29,316.53
2002-12-31,304.54
2003-01-31,300.41
2003-02-28,289.5
2003-03-31,279.83
2003-04-30,303.55
2003-05-30,322.59
2003-06-30,340.43
2003-07-31,360.02
2003-08-29,385.29
2003-09-30,384.87
2003-10-31,413.69
2003-11-28,417.09
2003-12-31,444.88
2004-01-30,461.53
2004-02-27,482.55
2004-03-31,487.35
2004-04-30,445.04
2004-05-31,438.31
2004-06-30,436.7
2004-07-30,425.78
2004-08-31,443.56
2004-09-30,467.12
2004-10-29,476.88
2004-11-30,518.85
2004-12-31,542.7
2005-01-31,543.26
2005-02-28,591.42
2005-03-31,551.78
2005-04-29,535.61
2005-05-31,554.56
2005-06-30,573.03
2005-07-29,611.67
2005-08-31,616.92
2005-09-30,673.71
2005-10-31,628.54
2005-11-30,677.61
2005-12-30,717.52
2006-01-31,799.09
2006-02-28,794.65
2006-03-31,797.35
2006-04-28,852.04
2006-05-31,763.34
2006-06-30,764.39
2006-07-31,772.97
2006-08-31,789.64
2006-09-29,790.98
2006-10-31,823.78
2006-11-30,883.91
2006-12-29,923.26
2007-01-31,910.16
2007-02-28,899.61
2007-03-30,932.32
2007-04-30,967.43
2007-05-31,1000
2007-06-29,1046.6
2007-07-31,1098.63
2007-08-31,1075.83
2007-09-28,1195.99
2007-10-31,1330.75
2007-11-30,1245
2007-12-31,1245.98
2008-01-31,1091.19
2008-02-29,1171.31
2008-03-31,1109.63
2008-04-30,1200.94
2008-05-30,1226.34
2008-06-30,1106.8
2008-07-31,1054.23
2008-08-29,967.24
2008-09-30,798.6
2008-10-31,580.06
2008-11-28,537.17
2008-12-31,574.19
2009-01-30,536.23
2009-02-27,506.72
2009-03-31,577.29
2009-04-30,666.9
2009-05-29,777.88
2009-06-30,764.25
2009-07-31,845.01
2009-08-31,840.63
2009-09-30,916.1
2009-10-30,916.86
2009-11-30,954.76
2009-12-31,987.45
2010-01-29,931.81
2010-02-26,933.3
2010-03-31,1008.33
2010-04-30,1017.32
2010-05-31,924.18
2010-06-30,912.18
2010-07-30,984.34
2010-08-31,960.6
2010-09-30,1063.34
2010-10-29,1093.49
2010-11-30,1064.72
2010-12-31,1143.56
2011-01-31,1112.95
2011-02-28,1106.38
2011-03-31,1168.11
2011-04-29,1198.7
2011-05-31,1161.38
2011-06-30,1139.21
2011-07-29,1129.31
2011-08-31,1025.51
2011-09-30,879.01
2011-10-31,995.94
2011-11-30,931.15
2011-12-30,918.59
2012-01-31,1021.44
2012-02-29,1078.75
2012-03-30,1040.56
2012-04-30,1027.07
2012-05-31,904.08
2012-06-29,936.25
2012-07-31,953.21
2012-08-31,945.38
2012-09-28,1001.07
2012-10-31,994.76
2012-11-30,1006.01
2012-12-31,1053.41
2013-01-31,1068.6
2013-02-28,1051.81
2013-03-29,1032.92
2013-04-30,1036.78
2013-05-31,1005.31
2013-06-28,937.4
2013-07-31,944.3
2013-08-30,928.26
2013-09-30,986.29
2013-10-31,1033.87
2013-11-29,1017.5
2013-12-31,1001
2014-01-31,934.46
2014-02-28,963.08
2014-03-31,991.04
2014-04-30,991.12
2014-05-30,1025.57
2014-06-30,1048.48
2014-07-31,1064.77
2014-08-29,1086.15
2014-09-30,1001.63
2014-10-31,1015.07
2014-11-28,1004.21
2014-12-31,955.02
2015-01-30,958.94
2015-02-27,988.68
2015-03-31,972.19
2015-04-30,1044.31
2015-05-29,1000.11
2015-06-30,970.03
2015-07-31,896.66
2015-08-31,814.14
2015-09-30,786.57
2015-10-30,843.45
2015-11-30,809.63
2015-12-31,789.57
2016-01-29,737.19
2016-02-29,736.04
2016-03-31,832.79
2016-04-29,835.09
2016-05-31,803.56
2016-06-30,830.88
2016-07-29,868.41
2016-08-31,891.97
2016-09-30,902.94
2016-10-31,905.69
2016-11-30,865.92
2016-12-30,866.84
2017-01-31,914.03
2017-02-28,939.94
2017-03-31,961.49
2017-04-28,981.19
2017-05-31,1009.66
2017-06-30,1016.4
2017-07-31,1073.58
2017-08-31,1095.86
2017-09-29,1090.55
2017-10-31,1132.4
2017-11-30,1133.85
2017-12-29,1167.78
2018-01-31,1268.39
2018-02-28,1208.14
2018-03-30,1179.63
2018-04-30,1172.42
2018-05-31,1125.61
2018-06-29,1076.48
2018-07-31,1096.47
2018-08-31,1063.79
2018-09-28,1057.31
2018-10-31,964.83
2018-11-30,1001.93
2018-12-31,970.15
2019-01-31,1057.09
2019-02-28,1059.33
2019-03-29,1067.48
2019-04-30,1090.2
2019-05-31,1005.04
2019-06-28,1062.92
2019-07-31,1044.75
2019-08-30,993.14
2019-09-30,1011.07
2019-10-31,1052.84
2019-11-29,1051.94
2019-12-31,1127.8
2020-01-31,1073.75
2020-02-28,1022.44
2020-03-31,872.16
2020-04-30,945.4
2020-05-29,947.76
2020-06-30,1014.4
2020-07-31,1101.51
2020-08-31,1125.47
2020-09-30,1106.21
2020-10-30,1134.66
2020-11-30,1234.41
2020-12-31,1320.74
2021-01-29,1367.87
2021-02-26,1374.36
2021-03-31,1343.92
2021-04-30,1370.32
2021-05-31,1397.11
2021-06-30,1393.49
2021-07-30,1288.86
2021-08-31,1318.11
2021-09-30,1261.57
2021-10-29,1276.13
2021-11-30,1221.22
2021-12-31,1240.22
2022-01-31,1221.19
2022-02-28,1178.11
2022-03-31,1143.72
2022-04-29,1079.43
2022-05-31,1080.08
2022-06-30,1006.79
2022-07-29,997.45
2022-08-31,996.5
2022-09-30,876.89
2022-10-31,840.73
2022-11-30,970.33
2022-12-30,953.25
2023-01-31,1032.87
2023-02-28,958.99
2023-03-31,988.96
2023-04-28,971.28
2023-05-31,953.67
2023-06-30,983.83
2023-07-31,1040.25
2023-08-31,971.61
2023-09-29,943.39
