Date,PX_LAST
1999-12-31,407.33
2000-01-31,414.76
2000-02-29,412.4
2000-03-31,405.65
2000-04-28,362.34
2000-05-31,338.94
2000-06-30,344.16
2000-07-31,333.61
2000-08-31,339.46
2000-09-29,304
2000-10-31,274.98
2000-11-30,255.99
2000-12-29,257.61
2001-01-31,288.52
2001-02-28,270.48
2001-03-30,245.69
2001-04-30,250.87
2001-05-31,254.86
2001-06-29,250.09
2001-07-31,234.33
2001-08-31,238.94
2001-09-28,200.29
2001-10-31,208.87
2001-11-30,232.97
2001-12-31,252.62
2002-01-31,266.72
2002-02-28,272.83
2002-03-29,291.6
2002-04-30,292.93
2002-05-31,286.52
2002-06-28,265.71
2002-07-31,250.87
2002-08-30,252.78
2002-09-30,224.74
2002-10-31,235.85
2002-11-29,253.09
2002-12-31,246.35
2003-01-31,249.43
2003-02-28,244.69
2003-03-31,235.23
2003-04-30,253.28
2003-05-30,272.21
2003-06-30,288.62
2003-07-31,304.95
2003-08-29,321.17
2003-09-30,324.6
2003-10-31,356.58
2003-11-28,364.24
2003-12-31,387.86
2004-01-30,401.61
2004-02-27,426.38
2004-03-31,436.57
2004-04-30,404.35
2004-05-31,395.91
2004-06-30,406.59
2004-07-30,395.06
2004-08-31,408.24
2004-09-30,432.83
2004-10-29,448.24
2004-11-30,491.18
2004-12-31,519.14
2005-01-31,514.92
2005-02-28,556.74
2005-03-31,517.83
2005-04-29,500.86
2005-05-31,511.67
2005-06-30,522.62
2005-07-29,555.63
2005-08-31,549.74
2005-09-30,593.08
2005-10-31,552.06
2005-11-30,605.28
2005-12-30,648.97
2006-01-31,704.79
2006-02-28,709.25
2006-03-31,714.22
2006-04-28,769.61
2006-05-31,684.12
2006-06-30,666.21
2006-07-31,672.56
2006-08-31,689.63
2006-09-29,701.54
2006-10-31,743.42
2006-11-30,800.39
2006-12-29,835.96
2007-01-31,826.08
2007-02-28,836.13
2007-03-30,863.42
2007-04-30,922.23
2007-05-31,1000
2007-06-29,1037.31
2007-07-31,1093.73
2007-08-31,1055.82
2007-09-28,1161.07
2007-10-31,1283.77
2007-11-30,1171.16
2007-12-31,1180.37
2008-01-31,1015.09
2008-02-29,1086.08
2008-03-31,1020.03
2008-04-30,1085.5
2008-05-30,1080.38
2008-06-30,943.1
2008-07-31,939.51
2008-08-29,864.32
2008-09-30,696.75
2008-10-31,499.26
2008-11-28,453.56
2008-12-31,507.39
2009-01-30,473.67
2009-02-27,440.97
2009-03-31,509.34
2009-04-30,614.86
2009-05-29,717.8
2009-06-30,716.13
2009-07-31,806.2
2009-08-31,800.82
2009-09-30,867.85
2009-10-30,865.17
2009-11-30,907.62
2009-12-31,961.66
2010-01-29,906.67
2010-02-26,913.37
2010-03-31,981.66
2010-04-30,994.6
2010-05-31,902.43
2010-06-30,913.97
2010-07-30,991.5
2010-08-31,984.01
2010-09-30,1100.59
2010-10-29,1129.97
2010-11-30,1094.92
2010-12-31,1147.58
2011-01-31,1106.72
2011-02-28,1067.99
2011-03-31,1136.3
2011-04-29,1182.9
