Date,PX_LAST
1999-12-31,1031.8351
2000-01-31,941.25925
2000-02-29,1002.25449
2000-03-31,1009.27576
2000-04-28,950.43293
2000-05-31,967.36527
2000-06-30,980.35274
2000-07-31,958.90876
2000-08-31,941.28374
2000-09-29,888.32354
2000-10-31,872.00536
2000-11-30,846.33082
2000-12-29,909.37691
2001-01-31,914.0108
2001-02-28,831.10714
2001-03-30,754.83901
2001-04-30,812.13436
2001-05-31,755.63151
2001-06-29,730.89598
2001-07-31,733.95163
2001-08-31,718.38731
2001-09-28,641.99737
2001-10-31,663.27893
2001-11-30,690.33994
2001-12-31,699.86732
2002-01-31,659.08353
2002-02-28,659.17364
2002-03-29,691.2235
2002-04-30,685.9167
2002-05-31,684.11858
2002-06-28,666.84562
2002-07-31,584.55812
2002-08-30,587.87554
2002-09-30,505.14745
2002-10-31,559.90778
2002-11-29,588.40902
2002-12-31,571.27391
2003-01-31,543.81459
2003-02-28,537.10296
2003-03-31,527.9638
2003-04-30,600.72524
2003-05-30,642.23309
2003-06-30,639.50894
2003-07-31,647.72158
2003-08-29,635.74849
2003-09-30,652.11401
2003-10-31,685.16954
2003-11-28,720.023
2003-12-31,783.61693
2004-01-30,784.18257
2004-02-27,799.69961
2004-03-31,764.20642
2004-04-30,757.09012
2004-05-31,758.1736
2004-06-30,767.69572
2004-07-30,742.57656
2004-08-31,750.52204
2004-09-30,782.64671
2004-10-29,814.91669
2004-11-30,864.34137
2004-12-31,905.71608
2005-01-31,880.97329
2005-02-28,918.45144
2005-03-31,893.29653
2005-04-29,864.00513
2005-05-31,860.55514
2005-06-30,870.75929
2005-07-29,909.86087
2005-08-31,917.73812
2005-09-30,934.50869
2005-10-31,908.29393
2005-11-30,919.06044
2005-12-30,954.93446
2006-01-31,1009.96727
2006-02-28,1004.05634
2006-03-31,1050.16103
2006-04-28,1094.97408
2006-05-31,1051.64355
2006-06-30,1057.64245
2006-07-31,1071.94251
2006-08-31,1093.33505
2006-09-29,1104.67912
2006-10-31,1143.14588
2006-11-30,1176.81906
2006-12-29,1211.57636
2007-01-31,1213.36777
2007-02-28,1213.69307
2007-03-30,1256.50068
2007-04-30,1334.58179
2007-05-31,1344.7
2007-06-29,1345.68262
2007-07-31,1312.33301
2007-08-31,1300.8744
2007-09-28,1373.32163
2007-10-31,1434.65316
2007-11-30,1400.18139
2007-12-31,1371.04991
2008-01-31,1231.32363
2008-02-29,1242.92355
2008-03-31,1239.14104
2008-04-30,1293.37397
2008-05-30,1284.94542
2008-06-30,1172.5523
2008-07-31,1144.50413
2008-08-29,1086.09866
2008-09-30,932.28041
2008-10-31,742.96185
2008-11-28,686.20976
2008-12-31,724.71882
2009-01-30,638.28589
2009-02-27,570.28717
2009-03-31,606.09986
2009-04-30,682.1656
2009-05-29,758.83977
2009-06-30,746.23765
2009-07-31,826.77766
2009-08-31,870.78887
2009-09-30,910.35531
2009-10-30,898.98442
2009-11-30,921.09888
2009-12-31,935.34138
2010-01-29,876.60424
2010-02-26,855.72902
2010-03-31,909.4988
2010-04-30,876.36343
2010-05-31,766.38424
2010-06-30,757.83805
2010-07-30,845.40602
2010-08-31,811.43617
2010-09-30,895.14726
2010-10-29,937.36784
2010-11-30,862.21691
2010-12-31,927.5603
2011-01-31,967.17256
2011-02-28,995.80998
2011-03-31,983.77851
2011-04-29,1058.08714
2011-05-31,1012.93097
2011-06-30,995.22639
2011-07-29,962.8749
2011-08-31,862.68347
2011-09-30,771.52878
2011-10-31,863.73156
2011-11-30,822.02245
2011-12-30,809.2224
2012-01-31,843.77226
2012-02-29,892.99559
2012-03-30,885.17814
2012-04-30,858.32398
2012-05-31,747.72526
2012-06-29,804.36323
2012-07-31,814.80487
2012-08-31,846.48086
2012-09-28,871.7052
2012-10-31,884.06114
2012-11-30,903.15793
2012-12-31,928.73888
2013-01-31,983.49518
2013-02-28,950.89861
2013-03-29,943.17074
2013-04-30,978.5473
2013-05-31,975.34137
2013-06-28,924.48644
2013-07-31,988.3982
2013-08-30,973.64976
2013-09-30,1041.84641
2013-10-31,1087.10406
2013-11-29,1095.9011
2013-12-31,1121.07328
