Date,PX_LAST
2001-10-31,483.87254
2001-11-30,508.32742
2001-12-31,514.92664
2002-01-31,501.62609
2002-02-28,503.71251
2002-03-29,532.59828
2002-04-30,535.59474
2002-05-31,538.67389
2002-06-28,521.38595
2002-07-31,464.14452
2002-08-30,462.81208
2002-09-30,409.40917
2002-10-31,436.93361
2002-11-29,459.5775
2002-12-31,439.62675
2003-01-31,416.89076
2003-02-28,397.84948
2003-03-31,392.05827
2003-04-30,444.67998
2003-05-30,477.77915
2003-06-30,479.68797
2003-07-31,494.88513
2003-08-29,499.38412
2003-09-30,510.18099
2003-10-31,549.6437
2003-11-28,572.25704
2003-12-31,604.6523
2004-01-30,630.57483
2004-02-27,654.925
2004-03-31,633.03697
2004-04-30,621.93531
2004-05-31,632.18541
2004-06-30,645.366
2004-07-30,621.28815
2004-08-31,624.37963
2004-09-30,647.26577
2004-10-29,673.72343
2004-11-30,728.73727
2004-12-31,761.62502
2005-01-31,758.53214
2005-02-28,793.82063
2005-03-31,767.93682
2005-04-29,743.43725
2005-05-31,747.57225
2005-06-30,756.86816
2005-07-29,783.29294
2005-08-31,803.48533
2005-09-30,815.01806
2005-10-31,785.23522
2005-11-30,810.89727
2005-12-30,848.92711
2006-01-31,917.90604
2006-02-28,926.19211
2006-03-31,969.28046
2006-04-28,1012.3981
2006-05-31,971.59752
2006-06-30,971.89588
2006-07-31,983.38987
2006-08-31,1024.17552
2006-09-29,1044.43267
2006-10-31,1093.74054
2006-11-30,1145.97892
2006-12-29,1197.27737
2007-01-31,1205.54559
2007-02-28,1208.76194
2007-03-30,1265.939
2007-04-30,1323.9351
2007-05-31,1344.7
2007-06-29,1323.62637
2007-07-31,1295.5521
2007-08-31,1264.04806
2007-09-28,1288.17241
2007-10-31,1349.56193
2007-11-30,1257.41071
2007-12-31,1217.509
2008-01-31,1105.75796
2008-02-29,1129.71259
2008-03-31,1136.38159
2008-04-30,1169.46712
2008-05-30,1180.2457
2008-06-30,1058.92784
2008-07-31,995.62832
2008-08-29,975.73715
2008-09-30,808.57262
2008-10-31,596.5807
2008-11-28,559.93717
2008-12-31,584.78446
2009-01-30,536.59174
2009-02-27,487.27356
2009-03-31,513.20344
2009-04-30,600.6909
2009-05-29,666.24384
2009-06-30,649.33705
2009-07-31,715.90474
2009-08-31,761.71452
2009-09-30,808.95224
2009-10-30,785.1413
2009-11-30,805.68873
2009-12-31,819.2888
2010-01-29,786.21921
2010-02-26,764.79666
2010-03-31,825.04083
2010-04-30,812.30015
2010-05-31,707.15811
2010-06-30,701.27715
2010-07-30,785.56162
2010-08-31,746.07399
2010-09-30,844.31783
2010-10-29,879.70453
2010-11-30,821.55518
2010-12-31,892.16459
2011-01-31,923.39175
2011-02-28,954.75134
2011-03-31,956.54293
2011-04-29,1018.47044
2011-05-31,982.21403
2011-06-30,951.09785
2011-07-29,907.67089
2011-08-31,821.37029
2011-09-30,714.26294
2011-10-31,790.68242
2011-11-30,747.04985
2011-12-30,730.11456
2012-01-31,776.03834
2012-02-29,831.68696
2012-03-30,837.18294
2012-04-30,808.68877
2012-05-31,699.46857
2012-06-29,741.80404
2012-07-31,750.12454
2012-08-31,780.20654
2012-09-28,812.46272
2012-10-31,820.78051
2012-11-30,844.4929
2012-12-31,870.30256
2013-01-31,911.29622
2013-02-28,900.48981
2013-03-29,895.79172
2013-04-30,922.09948
2013-05-31,927.77672
2013-06-28,888.30653
2013-07-31,966.67866
2013-08-30,958.74244
2013-09-30,1020.30505
2013-10-31,1061.22516
2013-11-29,1065.9168
2013-12-31,1100.15537
2014-01-31,1077.13179
2014-02-28,1162.56456
2014-03-31,1143.95741
2014-04-30,1153.85919
2014-05-30,1156.41578
2014-06-30,1144.67566
2014-07-31,1091.97507
2014-08-29,1088.60318
2014-09-30,1030.64006
2014-10-31,1014.98594
2014-11-28,1046.51717
2014-12-31,1026.9512
2015-01-30,1031.40714
2015-02-27,1096.55025
2015-03-31,1064.89346
2015-04-30,1112.17088
2015-05-29,1109.07403
2015-06-30,1080.08998
2015-07-31,1102.41258
2015-08-31,1044.28002
2015-09-30,1004.53497
2015-10-30,1064.91174
2015-11-30,1056.13728
2015-12-31,1039.28944
2016-01-29,965.35229
2016-02-29,953.80275
2016-03-31,1025.9061
2016-04-29,1037.69952
2016-05-31,1026.42543
2016-06-30,948.71249
2016-07-29,1005.43537
2016-08-31,1013.76009
2016-09-30,1022.67992
2016-10-31,974.28181
2016-11-30,955.03349
2016-12-30,992.19848
2017-01-31,1024.48
2017-02-28,1036.29552
2017-03-31,1073.12946
2017-04-28,1121.98761
2017-05-31,1161.97547
2017-06-30,1146.55455
2017-07-31,1192.611
2017-08-31,1194.81039
2017-09-29,1229.74041
2017-10-31,1243.82819
2017-11-30,1236.27516
2017-12-29,1264.94642
2018-01-31,1326.65449
2018-02-28,1268.30144
2018-03-30,1249.14175
2018-04-30,1266.19419
2018-05-31,1238.44832
2018-06-29,1218.04422
2018-07-31,1252.96875
2018-08-31,1235.58059
2018-09-28,1228.16322
2018-10-31,1105.9337
2018-11-30,1075.56781
2018-12-31,1022.2172
2019-01-31,1100.98002
2019-02-28,1138.19932
2019-03-29,1131.23053
2019-04-30,1173.94654
2019-05-31,1096.45096
2019-06-28,1161.34075
2019-07-31,1142.47726
2019-08-30,1113.85576
2019-09-30,1143.84136
2019-10-31,1189.99823
2019-11-29,1219.06361
2019-12-31,1271.82349
2020-01-31,1242.79775
2020-02-28,1137.56611
2020-03-31,927.45257
2020-04-30,1004.14544
2020-05-29,1067.46701
2020-06-30,1102.1622
2020-07-31,1158.65299
2020-08-31,1232.03913
2020-09-30,1198.84293
2020-10-30,1147.90511
2020-11-30,1336.87559
2020-12-31,1417.79682
2021-01-29,1403.44432
2021-02-26,1422.73891
2021-03-31,1456.46068
2021-04-30,1529.03581
2021-05-31,1582.74219
2021-06-30,1552.99037
2021-07-30,1599.78147
2021-08-31,1615.44673
2021-09-30,1514.80474
2021-10-29,1563.80451
2021-11-30,1500.22204
2021-12-31,1577.80129
2022-01-31,1451.13614
2022-02-28,1400.73257
2022-03-31,1383.86253
2022-04-29,1290.99822
2022-05-31,1275.67099
2022-06-30,1122.40223
2022-07-29,1186.1028
2022-08-31,1089.98229
2022-09-30,967.46376
2022-10-31,1044.91452
2022-11-30,1159.64118
2022-12-30,1170.68445
2023-01-31,1289.20287
2023-02-28,1280.07526
2023-03-31,1279.30304
2023-04-28,1317.84158
2023-05-31,1219.15842
2023-06-30,1258.30168
2023-07-31,1321.27368
2023-08-31,1262.56899
2023-09-29,1195.2262
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
