Date,PX_LAST
1999-12-31,173.15
2000-01-31,163.43
2000-02-29,159.67
2000-03-31,170.77
2000-04-28,158.52
2000-05-31,147.58
2000-06-30,157.02
2000-07-31,141.75
2000-08-31,150.74
2000-09-29,143.89
2000-10-31,135.17
2000-11-30,130.74
2000-12-29,124.16
2001-01-31,124.32
2001-02-28,118.11
2001-03-30,111.1
2001-04-30,119.58
2001-05-31,118.99
2001-06-29,114.01
2001-07-31,104.65
2001-08-31,102.15
2001-09-28,91.87
2001-10-31,94.13
2001-11-30,97.1
2001-12-31,93.49
2002-01-31,88.7
2002-02-28,91.21
2002-03-29,96.13
2002-04-30,99.78
2002-05-31,104.74
2002-06-28,98.94
2002-07-31,92.81
2002-08-30,92.16
2002-09-30,86.73
2002-10-31,83.73
2002-11-29,87.18
2002-12-31,83.92
2003-01-31,81.36
2003-02-28,80.66
2003-03-31,77.2
2003-04-30,78.28
2003-05-30,82.14
2003-06-30,87.4
2003-07-31,91.16
2003-08-29,99.13
2003-09-30,103.52
2003-10-31,109.11
2003-11-28,106.75
2003-12-31,113.44
2004-01-30,116.52
2004-02-27,117.7
2004-03-31,127.91
2004-04-30,121.02
2004-05-31,117.42
2004-06-30,121.35
2004-07-30,115.51
2004-08-31,117.31
2004-09-30,116.69
2004-10-29,119.79
2004-11-30,127.29
2004-12-31,133.06
2005-01-31,131.15
2005-02-28,135.29
2005-03-31,130.82
2005-04-29,127.94
2005-05-31,127.46
2005-06-30,128.66
2005-07-29,132.04
2005-08-31,137.55
2005-09-30,149.93
2005-10-31,145.94
2005-11-30,152.32
2005-12-30,163.4
2006-01-31,172.22
2006-02-28,170.37
2006-03-31,172.8
2006-04-28,180.12
2006-05-31,168.75
2006-06-30,167.8
2006-07-31,167.9
2006-08-31,170.88
2006-09-29,168.36
2006-10-31,172.81
2006-11-30,175.98
2006-12-29,180.24
2007-01-31,180.9
2007-02-28,186.59
2007-03-30,186.29
2007-04-30,186.82
2007-05-31,190.91
2007-06-29,192.1
2007-07-31,193.79
2007-08-31,187.92
2007-09-28,198.36
2007-10-31,204.27
2007-11-30,196.21
2007-12-31,189.82
2008-01-31,176.54
2008-02-29,178.38
2008-03-31,169.9
2008-04-30,182.84
