Date,PX_LAST
2000-01-31,338.86736
2000-02-29,355.64192
2000-03-31,366.07146
2000-04-28,352.11359
2000-05-31,352.83104
2000-06-30,355.46264
2000-07-31,352.47637
2000-08-31,349.42396
2000-09-29,334.45055
2000-10-31,331.5064
2000-11-30,317.82681
2000-12-29,339.85774
2001-01-31,338.71335
2001-02-28,308.81378
2001-03-30,283.49232
2001-04-30,304.64065
2001-05-31,289.20944
2001-06-29,278.59402
2001-07-31,277.27217
2001-08-31,270.27446
2001-09-28,244.12918
2001-10-31,251.62178
2001-11-30,259.70905
2001-12-31,266.19552
2002-01-31,251.20948
2002-02-28,250.70899
2002-03-29,261.87244
2002-04-30,259.45516
2002-05-31,256.83633
2002-06-28,248.68173
2002-07-31,221.14607
2002-08-30,221.02647
2002-09-30,191.27572
2002-10-31,210.23966
2002-11-29,220.59677
2002-12-31,212.72522
2003-01-31,202.11339
2003-02-28,195.79883
2003-03-31,191.76563
2003-04-30,216.87008
2003-05-30,229.83163
2003-06-30,231.30241
2003-07-31,234.17925
2003-08-29,231.97803
2003-09-30,237.37795
2003-10-31,251.36383
2003-11-28,262.66265
2003-12-31,283.81787
2004-01-30,288.19247
2004-02-27,296.0638
2004-03-31,283.42569
2004-04-30,280.00489
2004-05-31,282.62634
2004-06-30,285.76463
2004-07-30,277.40044
2004-08-31,278.41506
2004-09-30,289.00071
2004-10-29,300.30858
2004-11-30,319.80063
2004-12-31,332.44734
2005-01-31,326.28046
2005-02-28,340.93264
2005-03-31,331.09898
2005-04-29,322.53548
2005-05-31,321.34321
2005-06-30,325.1351
2005-07-29,336.83094
2005-08-31,341.90776
2005-09-30,348.65346
2005-10-31,339.52742
2005-11-30,343.01349
2005-12-30,355.66448
2006-01-31,377.6795
2006-02-28,376.24219
2006-03-31,389.86826
2006-04-28,407.48731
2006-05-31,392.68286
2006-06-30,393.5223
2006-07-31,400.32899
2006-08-31,411.12894
2006-09-29,414.48968
2006-10-31,431.44722
2006-11-30,444.05576
2006-12-29,457.24944
2007-01-31,460.32347
2007-02-28,458.13855
2007-03-30,473.41363
2007-04-30,501.2329
2007-05-31,505.82235
2007-06-29,508.2436
2007-07-31,496.11108
2007-08-31,489.65512
2007-09-28,516.04722
2007-10-31,538.3873
2007-11-30,524.04433
2007-12-31,512.78203
2008-01-31,460.88326
2008-02-29,465.0834
2008-03-31,463.75702
2008-04-30,483.96225
2008-05-30,480.29461
2008-06-30,437.13034
2008-07-31,425.77462
2008-08-29,404.82365
2008-09-30,346.99415
2008-10-31,274.31282
2008-11-28,254.15082
2008-12-31,268.38595
2009-01-30,237.30024
2009-02-27,212.31727
2009-03-31,225.72061
2009-04-30,254.64218
2009-05-29,283.81887
2009-06-30,278.75551
2009-07-31,308.48187
2009-08-31,325.42113
2009-09-30,341.11776
2009-10-30,336.41065
2009-11-30,345.01724
2009-12-31,350.44368
2010-01-29,329.68069
2010-02-26,322.06013
2010-03-31,342.6247
2010-04-30,331.3015
2010-05-31,289.33479
2010-06-30,286.0524
2010-07-30,319.62655
2010-08-31,306.09802
2010-09-30,338.89012
2010-10-29,354.36677
2010-11-30,326.30228
2010-12-31,351.98572
2011-01-31,366.87168
2011-02-28,377.66054
2011-03-31,373.81739
2011-04-29,401.3837
2011-05-31,384.58836
2011-06-30,376.88985
2011-07-29,363.70539
2011-08-31,326.28304
2011-09-30,290.59429
2011-10-31,324.7923
2011-11-30,309.18243
2011-12-30,304.14113
2012-01-31,318.03821
2012-02-29,337.07418
2012-03-30,334.33043
2012-04-30,324.33698
2012-05-31,282.37188
2012-06-29,303.50533
2012-07-31,307.34333
2012-08-31,319.63175
2012-09-28,329.83587
2012-10-31,334.67049
2012-11-30,342.11526
2012-12-31,352.09477
2013-01-31,372.4889
2013-02-28,360.75849
2013-03-29,358.17004
2013-04-30,372.14982
2013-05-31,371.69192
2013-06-28,352.39779
2013-07-31,377.72623
2013-08-30,372.70667
2013-09-30,398.3862
2013-10-31,415.59346
2013-11-29,418.7769
2013-12-31,428.78316
2014-01-31,412.19394
2014-02-28,441.07378
2014-03-31,435.50686
2014-04-30,445.09527
2014-05-30,445.83712
2014-06-30,445.11091
2014-07-31,428.33365
2014-08-29,428.0405
2014-09-30,413.19335
2014-10-31,401.7698
2014-11-28,410.47375
2014-12-31,392.87018
2015-01-30,392.75851
2015-02-27,415.85227
2015-03-31,403.89171
2015-04-30,420.05704
2015-05-29,414.53141
2015-06-30,400.81283
2015-07-31,411.08583
2015-08-31,381.96341
2015-09-30,364.25041
2015-10-30,387.84682
2015-11-30,381.31579
2015-12-31,371.23635
2016-01-29,346.86529
2016-02-29,339.59069
2016-03-31,358.71307
2016-04-29,365.51338
2016-05-31,361.56537
2016-06-30,343.31117
2016-07-29,357.46682
2016-08-31,358.70906
2016-09-30,360.60743
2016-10-31,348.44087
2016-11-30,339.91237
2016-12-30,358.16536
2017-01-31,364.54589
2017-02-28,368.03629
2017-03-31,381.99522
2017-04-28,394.16751
2017-05-31,409.27963
2017-06-30,404.47467
2017-07-31,417.01239
2017-08-31,415.02674
2017-09-29,427.87563
2017-10-31,430.30449
2017-11-30,429.17152
2017-12-29,436.77092
2018-01-31,457.97383
2018-02-28,432.03927
2018-03-30,426.26507
2018-04-30,435.35393
2018-05-31,416.97985
2018-06-29,413.68844
2018-07-31,427.17397
2018-08-31,411.9242
2018-09-28,415.07404
2018-10-31,381.99639
2018-11-30,378.66307
2018-12-31,361.88916
2019-01-31,384.05443
2019-02-28,396.55241
2019-03-29,397.79343
2019-04-30,410.02297
2019-05-31,384.28462
2019-06-28,407.59602
2019-07-31,400.1088
2019-08-30,387.87242
2019-09-30,399.16119
2019-10-31,411.30601
2019-11-29,417.03436
2019-12-31,433.76753
2020-01-31,422.42544
2020-02-28,382.74066
2020-03-31,326.40887
2020-04-30,344.50847
2020-05-29,358.81477
2020-06-30,374.36447
2020-07-31,386.43187
2020-08-31,402.17944
2020-09-30,389.11092
2020-10-30,366.63867
2020-11-30,427.87789
2020-12-31,448.03549
2021-01-29,440.8622
2021-02-26,449.63463
2021-03-31,463.79142
2021-04-30,482.59252
2021-05-31,500.70212
2021-06-30,493.05617
2021-07-30,502.81282
2021-08-31,509.58056
2021-09-30,483.23377
2021-10-29,504.46119
2021-11-30,481.97494
2021-12-31,510.76731
2022-01-31,485.50817
2022-02-28,469.33521
2022-03-31,466.60284
2022-04-29,438.51956
2022-05-31,439.16816
2022-06-30,394.6666
2022-07-29,413.45725
2022-08-31,386.37345
2022-09-30,351.95393
2022-10-31,377.14743
2022-11-30,419.93799
2022-12-30,420.43353
2023-01-31,454.81498
2023-02-28,450.80845
2023-03-31,460.24617
2023-04-28,475.83233
2023-05-31,444.65285
2023-06-30,466.98633
2023-07-31,479.26591
2023-08-31,458.94623
2023-09-29,441.0514
