Date,PX_LAST
1999-12-31,197.79
2000-01-31,191.58
2000-02-29,217.09
2000-03-31,208.95
2000-04-28,205.28
2000-05-31,199.05
2000-06-30,210.7
2000-07-31,205.43
2000-08-31,223.49
2000-09-29,217.29
2000-10-31,218.54
2000-11-30,195.64
2000-12-29,219.59
2001-01-31,228.89
2001-02-28,214.77
2001-03-30,204.78
2001-04-30,220.27
2001-05-31,224.32
2001-06-29,232.41
2001-07-31,228.42
2001-08-31,223.04
2001-09-28,192.77
2001-10-31,202.94
2001-11-30,217.61
2001-12-31,232.18
2002-01-31,234.1
2002-02-28,229.91
2002-03-29,247.92
2002-04-30,254.83
2002-05-31,244.1
2002-06-28,231.33
2002-07-31,198.55
2002-08-30,200.26
2002-09-30,187.86
2002-10-31,193.74
2002-11-29,203.65
2002-12-31,196.62
2003-01-31,189.75
2003-02-28,183.5
2003-03-31,184.78
2003-04-30,199.65
2003-05-30,215.54
2003-06-30,220.98
2003-07-31,232.32
2003-08-29,243.43
2003-09-30,236.1
2003-10-31,256.41
2003-11-28,265.92
2003-12-31,270.42
2004-01-30,278.05
2004-02-27,283.18
2004-03-31,286.66
2004-04-30,276.98
2004-05-31,281
2004-06-30,296.35
2004-07-30,279.91
2004-08-31,277.22
2004-09-30,291.6
2004-10-29,296.85
2004-11-30,321.99
2004-12-31,328.8
2005-01-31,321.11
2005-02-28,330.07
2005-03-31,321.26
2005-04-29,303.08
2005-05-31,322.9
2005-06-30,333.1
2005-07-29,352.9
2005-08-31,347.42
2005-09-30,350.2
2005-10-31,338.98
2005-11-30,354.29
2005-12-30,350.67
2006-01-31,379.84
2006-02-28,376.76
2006-03-31,394.83
2006-04-28,394.58
2006-05-31,376.31
2006-06-30,375.97
2006-07-31,362.82
2006-08-31,368.82
2006-09-29,371.78
2006-10-31,389.94
2006-11-30,400.5
2006-12-29,400.02
2007-01-31,408.01
2007-02-28,405.53
2007-03-30,411.92
2007-04-30,420.83
2007-05-31,439.92
2007-06-29,432.31
2007-07-31,410.2
2007-08-31,417.61
2007-09-28,423.43
2007-10-31,431
2007-11-30,398.77
2007-12-31,395.14
2008-01-31,375.51
2008-02-29,363.69
2008-03-31,364.59
2008-04-30,378.9
2008-05-30,395.31
2008-06-30,364.94
2008-07-31,372.13
2008-08-29,387.35
2008-09-30,360.68
2008-10-31,287.67
2008-11-28,253.76
2008-12-31,268.73
2009-01-30,234.32
2009-02-27,205.97
2009-03-31,222.43
2009-04-30,260.93
2009-05-29,264.89
2009-06-30,268.32
2009-07-31,295.73
2009-08-31,302.22
2009-09-30,317.43
2009-10-30,299.07
2009-11-30,306.62
2009-12-31,332.63
2010-01-29,321.14
2010-02-26,334.7
2010-03-31,360.3
2010-04-30,381.09
2010-05-31,353.31
2010-06-30,327.97
2010-07-30,348.5
2010-08-31,322.23
2010-09-30,358.55
2010-10-29,373.55
2010-11-30,386.56
2010-12-31,415.73
2011-01-31,416.12
2011-02-28,434.16
2011-03-31,446.63
2011-04-29,457.95
2011-05-31,453.44
2011-06-30,444.69
2011-07-29,430.16
2011-08-31,396.7
2011-09-30,355.39
2011-10-31,408.38
2011-11-30,410.48
2011-12-30,415.07
2012-01-31,442.12
2012-02-29,451.02
2012-03-30,463.45
2012-04-30,457.32
2012-05-31,428.13
2012-06-29,445.44
2012-07-31,441.72
2012-08-31,457.91
2012-09-28,468
2012-10-31,458.15
2012-11-30,462.15
2012-12-31,476.57
2013-01-31,503.84
2013-02-28,510.43
2013-03-29,531.38
2013-04-30,529.6
2013-05-31,551.98
2013-06-28,550.52
2013-07-31,587.76
2013-08-30,572.82
2013-09-30,607.76
2013-10-31,629.27
2013-11-29,656.85
2013-12-31,665.54
2014-01-31,639.51
2014-02-28,667.33
2014-03-31,671.12
2014-04-30,651.97
2014-05-30,653.01
2014-06-30,682.87
2014-07-31,644.93
2014-08-29,671.88
2014-09-30,634.99
2014-10-31,679.5
2014-11-28,676.82
2014-12-31,695.08
2015-01-30,670.38
2015-02-27,709.98
2015-03-31,720.2
2015-04-30,702.97
2015-05-29,712.88
2015-06-30,719.2
2015-07-31,712.64
2015-08-31,674.86
2015-09-30,650.19
2015-10-30,689.36
2015-11-30,706.75
2015-12-31,671.74
2016-01-29,629.95
2016-02-29,636.03
2016-03-31,686.97
2016-04-29,694.56
2016-05-31,705.14
2016-06-30,708.36
2016-07-29,743.98
2016-08-31,753.07
2016-09-30,756.9
2016-10-31,722.59
2016-11-30,812.02
2016-12-30,837.96
2017-01-31,834.2
2017-02-28,846.49
2017-03-31,844.17
2017-04-28,851.36
2017-05-31,832.17
2017-06-30,855.85
2017-07-31,863.62
2017-08-31,840.43
2017-09-29,903.98
2017-10-31,912.04
2017-11-30,942.94
2017-12-29,936.26
2018-01-31,959.39
2018-02-28,921.34
2018-03-30,938.46
2018-04-30,947.51
2018-05-31,1007.54
2018-06-29,1017.38
2018-07-31,1048.88
2018-08-31,1098.36
2018-09-28,1061.92
2018-10-31,949.96
2018-11-30,962.95
2018-12-31,844.94
2019-01-31,934.12
2019-02-28,973.71
2019-03-29,939.3
2019-04-30,975.06
2019-05-31,888.72
2019-06-28,953.25
2019-07-31,963.4
2019-08-30,918.74
2019-09-30,947.72
2019-10-31,965.35
2019-11-29,993.51
2019-12-31,1021.18
2020-01-31,979.84
2020-02-28,884.78
2020-03-31,684.84
2020-04-30,771.11
2020-05-29,803.11
2020-06-30,831.89
2020-07-31,865.38
2020-08-31,898.79
2020-09-30,855.27
2020-10-30,876.59
2020-11-30,1034.51
2020-12-31,1118.93
2021-01-29,1188.71
2021-02-26,1278.56
2021-03-31,1319.35
2021-04-30,1345.54
2021-05-31,1371.94
2021-06-30,1374.84
2021-07-30,1341.28
2021-08-31,1366.73
2021-09-30,1331.69
2021-10-29,1376.46
2021-11-30,1343.15
2021-12-31,1401.71
2022-01-31,1299.23
2022-02-28,1316.11
2022-03-31,1318.54
