Date,PX_LAST
1999-12-31,165.91
2000-01-31,165.5
2000-02-29,158.08
2000-03-31,166.45
2000-04-28,149.18
2000-05-31,142.96
2000-06-30,150.06
2000-07-31,143.1
2000-08-31,141.87
2000-09-29,124.45
2000-10-31,110.49
2000-11-30,104.92
2000-12-29,104.11
2001-01-31,119.06
2001-02-28,111.24
2001-03-30,101.17
2001-04-30,101.67
2001-05-31,99.44
2001-06-29,97.06
2001-07-31,91.01
2001-08-31,89.3
2001-09-28,74.36
2001-10-31,79.28
2001-11-30,91.32
2001-12-31,100.94
2002-01-31,103.72
2002-02-28,102.55
2002-03-29,110.05
2002-04-30,110.27
2002-05-31,107.45
2002-06-28,100.71
2002-07-31,96.02
2002-08-30,93.55
2002-09-30,82.77
2002-10-31,87.36
2002-11-29,91.16
2002-12-31,84.83
2003-01-31,86.77
2003-02-28,81.44
2003-03-31,78.1
2003-04-30,79.63
2003-05-30,86.12
2003-06-30,91.25
2003-07-31,99.29
2003-08-29,106.53
2003-09-30,106.59
2003-10-31,115.24
2003-11-28,112.53
2003-12-31,117.54
2004-01-30,125.92
2004-02-27,130.69
2004-03-31,127.98
2004-04-30,120.31
2004-05-31,117.48
2004-06-30,116
2004-07-30,111.32
2004-08-31,116.8
2004-09-30,120.15
2004-10-29,120.63
2004-11-30,130.4
2004-12-31,134.17
2005-01-31,134.5
2005-02-28,142.05
2005-03-31,134.7
2005-04-29,133.05
2005-05-31,136.42
2005-06-30,139.19
2005-07-29,147.84
2005-08-31,142.32
2005-09-30,148.19
2005-10-31,138.48
2005-11-30,147.85
2005-12-30,156.94
2006-01-31,167.88
2006-02-28,166.89
2006-03-31,168.02
2006-04-28,179.72
2006-05-31,168.28
2006-06-30,167.62
2006-07-31,167.45
2006-08-31,171.55
2006-09-29,175.62
2006-10-31,179.16
2006-11-30,192.81
2006-12-29,202.07
2007-01-31,197.95
2007-02-28,198.26
2007-03-30,201.66
2007-04-30,206.93
2007-05-31,216.14
2007-06-29,228.25
2007-07-31,242.4
2007-08-31,239.49
2007-09-28,267.71
2007-10-31,294.6
2007-11-30,268.54
2007-12-31,264.66
2008-01-31,230.58
2008-02-29,244.71
2008-03-31,233.48
2008-04-30,251.83
2008-05-30,245.95
2008-06-30,219.25
2008-07-31,214.43
2008-08-29,198.36
2008-09-30,166.76
2008-10-31,128.64
2008-11-28,119.92
2008-12-31,130.52
2009-01-30,122.12
2009-02-27,114.77
2009-03-31,130.43
2009-04-30,151.17
2009-05-29,170.96
2009-06-30,170.25
2009-07-31,192.93
2009-08-31,186.89
2009-09-30,202.89
2009-10-30,201.49
2009-11-30,204.53
2009-12-31,213.33
2010-01-29,200.38
2010-02-26,200.84
2010-03-31,214.85
2010-04-30,219.45
2010-05-31,200.15
2010-06-30,202.01
2010-07-30,214.83
2010-08-31,210.82
2010-09-30,232.64
2010-10-29,239.74
2010-11-30,238.56
2010-12-31,252.32
2011-01-31,254.21
2011-02-28,245.03
2011-03-31,258.31
