DATE,STICKCPIM157SFRBATL
2000-01-01,0.35487
2000-02-01,0.176327
2000-03-01,0.270402
2000-04-01,0.13861
2000-05-01,0.263778
2000-06-01,0.24392
2000-07-01,0.260883
2000-08-01,0.297119
2000-09-01,0.174872
2000-10-01,0.219049
2000-11-01,0.215025
2000-12-01,0.277242
2001-01-01,0.282333
2001-02-01,0.262264
2001-03-01,0.260577
2001-04-01,0.263322
2001-05-01,0.260544
2001-06-01,0.364821
2001-07-01,0.264664
2001-08-01,0.344288
2001-09-01,0.291778
2001-10-01,0.310645
2001-11-01,0.322518
2001-12-01,0.23064
2002-01-01,0.267052
2002-02-01,0.24848
2002-03-01,0.186946
2002-04-01,0.245624
2002-05-01,0.247374
2002-06-01,0.181357
2002-07-01,0.271298
2002-08-01,0.227027
2002-09-01,0.181292
2002-10-01,0.229863
2002-11-01,0.221716
2002-12-01,0.208176
2003-01-01,0.223929
2003-02-01,0.17893
2003-03-01,0.134679
2003-04-01,0.095053
2003-05-01,0.148913
2003-06-01,0.104254
2003-07-01,0.24582
2003-08-01,0.160603
2003-09-01,0.19462
2003-10-01,0.210782
2003-11-01,0.127801
2003-12-01,0.170789
2004-01-01,0.244683
2004-02-01,0.245669
2004-03-01,0.213855
2004-04-01,0.223881
2004-05-01,0.133238
2004-06-01,0.225217
2004-07-01,0.16143
2004-08-01,0.172951
2004-09-01,0.193854
2004-10-01,0.20646
2004-11-01,0.169376
2004-12-01,0.170147
2005-01-01,0.256754
2005-02-01,0.221033
2005-03-01,0.174295
2005-04-01,0.211437
2005-05-01,0.23481
2005-06-01,0.09734
2005-07-01,0.231732
2005-08-01,0.138483
2005-09-01,0.248808
2005-10-01,0.201974
2005-11-01,0.271427
2005-12-01,0.200389
2006-01-01,0.236027
2006-02-01,0.266327
2006-03-01,0.250822
2006-04-01,0.29703
2006-05-01,0.341688
2006-06-01,0.313399
2006-07-01,0.285684
2006-08-01,0.245264
2006-09-01,0.228571
2006-10-01,0.27191
2006-11-01,0.146207
2006-12-01,0.188454
2007-01-01,0.272426
2007-02-01,0.283584
