Date,PX_LAST
2014-11-30,999.76
2014-12-31,997.84
2015-01-31,967.04
2015-02-28,1020.03
2015-03-31,1012.65
2015-04-30,1014.59
2015-05-31,1025.05
2015-06-30,1002.2
2015-07-31,1015.85
2015-08-31,954.49
2015-09-30,931.14
2015-10-31,1003.43
2015-11-30,1011.84
2015-12-31,991.86
2016-01-31,930.3
2016-02-29,934.45
2016-03-31,1008.33
2016-04-30,1015.67
2016-05-31,1037.03
2016-06-30,1035.72
2016-07-31,1077.01
2016-08-31,1084.63
2016-09-30,1086.54
2016-10-31,1058.31
2016-11-30,1098.55
2016-12-31,1117.51
2017-01-31,1141.13
2017-02-28,1183.95
2017-03-31,1191.1
2017-04-30,1211.58
2017-05-31,1236.64
2017-06-30,1244.72
2017-07-31,1259.19
2017-08-31,1263.04
2017-09-30,1279.14
2017-10-31,1317.43
2017-11-30,1343.9
2017-12-31,1362.22
2018-01-31,1441.91
2018-02-28,1389.51
2018-03-31,1361.62
2018-04-30,1364.62
2018-05-31,1379.36
2018-06-30,1393.98
2018-07-31,1438.97
2018-08-31,1473.65
2018-09-30,1485.83
2018-10-31,1377.33
2018-11-30,1419.87
2018-12-31,1288.95
2019-01-31,1391.06
2019-02-28,1451.71
2019-03-31,1484.46
2019-04-30,1533.2
2019-05-31,1425.6
2019-06-30,1536.44
2019-07-31,1563.62
2019-08-31,1527.72
2019-09-30,1566.92
2019-10-31,1595.93
2019-11-30,1655.94
2019-12-31,1708.58
2020-01-31,1711.74
2020-02-29,1582.96
2020-03-31,1405.5
2020-04-30,1579.64
2020-05-31,1671.1
2020-06-30,1719.43
2020-07-31,1823.17
2020-08-31,1969.26
2020-09-30,1898.65
2020-10-31,1864.97
2020-11-30,2061.16
2020-12-31,2135.03
2021-01-31,2126.05
2021-02-28,2179.67
2021-03-31,2281.35
2021-04-30,2396.05
2021-05-31,2420.88
2021-06-30,2490.84
2021-07-31,2562.2
2021-08-31,2646.89
2021-09-30,2510.94
2021-10-31,2704.83
2021-11-30,2668.04
2021-12-31,2789.28
2022-01-31,2593.73
2022-02-28,2480.73
2022-03-31,2550.35
2022-04-30,2335.32
2022-05-31,2332.64
2022-06-30,2134.02
2022-07-31,2338.54
2022-08-31,2238.83
2022-09-30,2018.04
2022-10-31,2195.38
2022-11-30,2336.16
2022-12-31,2200.06
2023-01-31,2341.86
2023-02-28,2287.47
2023-03-31,2357.38
2023-04-30,2371.48
2023-05-31,2362.32
2023-06-30,2522.81
2023-07-31,2613.9
2023-08-31,2571.52
2023-09-30,2433.72
