Date,PX_LAST
2013-01-31,100
2013-02-28,100.4403
2013-03-29,100.6004
2013-04-30,101.062
2013-05-31,100.6174
2013-06-28,99.6331
2013-07-31,100.2238
2013-08-30,99.9664
2013-09-30,100.7332
2013-10-31,101.4008
2013-11-29,101.7472
2013-12-31,101.4262
2014-01-31,102.0921
2014-02-28,102.4727
2014-03-31,102.3055
2014-04-30,102.767
2014-05-30,103.3602
2014-06-30,103.312
2014-07-31,103.1896
2014-08-29,103.6455
2014-09-30,103.3089
2014-10-31,103.746
2014-11-28,104.0764
2014-12-31,103.6775
2015-01-30,104.752
2015-02-27,104.5429
2015-03-31,104.9579
2015-04-30,105.0698
2015-05-29,105.1917
2015-06-30,104.7536
2015-07-31,104.9577
2015-08-31,104.7799
2015-09-30,105.3384
2015-10-30,105.3671
2015-11-30,105.3034
2015-12-31,104.9977
2016-01-29,105.4652
2016-02-29,105.4915
2016-03-31,106.7735
2016-04-29,107.3064
2016-05-31,107.3112
2016-06-30,108.27
2016-07-29,108.6784
2016-08-31,108.7045
2016-09-30,108.8809
2016-10-31,108.8631
2016-11-30,107.8243
2016-12-30,107.9763
2017-01-31,108.4389
2017-02-28,108.9246
2017-03-31,108.9983
2017-04-28,109.5358
2017-05-31,109.9929
2017-06-30,109.9929
2017-07-31,110.5746
2017-08-31,111.0058
2017-09-29,110.8646
2017-10-31,111.0109
2017-11-30,110.6474
2017-12-29,110.7589
2018-01-31,110.3077
2018-02-28,109.8749
2018-03-30,109.9277
2018-04-30,109.7832
2018-05-31,110.3015
2018-06-29,110.2267
2018-07-31,110.4532
2018-08-31,111.0523
2018-09-28,110.9594
2018-10-31,110.8797
2018-11-30,110.933
2018-12-31,111.8668
2019-01-31,113.0611
2019-02-28,113.5236
2019-03-29,114.7451
2019-04-30,115.1831
2019-05-31,116.0484
2019-06-28,117.2031
2019-07-31,117.3017
2019-08-30,118.5639
2019-09-30,118.5891
2019-10-31,119.2043
2019-11-29,119.2565
2019-12-31,119.7199
2020-01-31,120.7926
2020-02-28,121.7424
2020-03-31,117.4092
2020-04-30,120.788
2020-05-29,122.5461
2020-06-30,123.8322
2020-07-31,124.8446
2020-08-31,125.1413
2020-09-30,125.0432
2020-10-30,125.2391
2020-11-30,125.9232
2020-12-31,126.4031
2021-01-29,126.3857
2021-02-26,126.1211
2021-03-31,125.7476
2021-04-30,126.2918
2021-05-31,126.7736
2021-06-30,126.6023
2021-07-30,127.0647
2021-08-31,126.9811
2021-09-30,126.7375
2021-10-29,126.105
2021-11-30,125.8506
2021-12-31,125.885
2022-01-31,124.3974
2022-02-28,123.4342
2022-03-31,121.1829
2022-04-29,119.5363
2022-05-31,120.4361
2022-06-30,118.8361
2022-07-29,120.5317
2022-08-31,119.0515
2022-09-30,116.4614
2022-10-31,116.0746
2022-11-30,118.5234
2022-12-30,118.6837
2023-01-31,120.5303
2023-02-28,119.1077
2023-03-31,120.6206
2023-04-28,121.4542
2023-05-31,120.9635
2023-06-30,120.705
2023-07-31,121.5162
2023-08-31,121.6648
2023-09-29,121.0325
