Date,PX_LAST
2013-01-31,100
2013-02-28,100.7799
2013-03-29,100.8331
2013-04-30,102.6653
2013-05-31,100.3089
2013-06-28,97.5875
2013-07-31,98.3106
2013-08-30,97.6222
2013-09-30,98.3175
2013-10-31,99.7178
2013-11-29,99.4676
2013-12-31,99.2692
2014-01-31,101.1467
2014-02-28,102.1717
2014-03-31,102.2414
2014-04-30,103.483
2014-05-30,104.9174
2014-06-30,104.9795
2014-07-31,104.9361
2014-08-29,106.4562
2014-09-30,105.0468
2014-10-31,106.0983
2014-11-28,106.797
2014-12-31,106.8902
2015-01-30,110.1611
2015-02-27,108.9559
2015-03-31,109.3692
2015-04-30,108.5685
2015-05-29,107.9192
2015-06-30,105.962
2015-07-31,106.741
2015-08-31,106.1276
2015-09-30,106.9076
2015-10-30,107.2377
2015-11-30,107.0613
2015-12-31,106.3346
2016-01-29,106.9355
2016-02-29,107.5929
2016-03-31,110.4646
2016-04-29,111.8611
2016-05-31,111.8624
2016-06-30,114.3289
2016-07-29,115.9397
2016-08-31,116.1712
2016-09-30,115.9582
2016-10-31,115.0106
2016-11-30,111.931
2016-12-30,112.645
2017-01-31,113.0579
2017-02-28,114.3002
2017-03-31,114.0744
2017-04-28,115.2731
2017-05-31,116.5784
2017-06-30,116.9408
2017-07-31,117.7845
2017-08-31,118.774
2017-09-29,118.5332
2017-10-31,119.0151
2017-11-30,118.8388
2017-12-29,119.9054
2018-01-31,118.777
2018-02-28,116.8798
2018-03-30,117.1781
2018-04-30,116.0677
2018-05-31,116.6659
2018-06-29,115.9708
2018-07-31,116.8125
2018-08-31,117.4385
2018-09-28,116.9953
2018-10-31,115.3139
2018-11-30,115.1843
2018-12-31,116.8973
2019-01-31,119.5002
2019-02-28,119.8138
2019-03-29,122.8109
2019-04-30,123.4851
2019-05-31,125.3071
2019-06-28,128.313
2019-07-31,129.0754
2019-08-30,133.1103
2019-09-30,132.2827
2019-10-31,133.1044
2019-11-29,133.487
2019-12-31,133.8651
2020-01-31,137.0559
2020-02-28,138.9845
2020-03-31,129.2936
2020-04-30,136.5487
2020-05-29,138.6112
2020-06-30,141.3353
2020-07-31,146.0125
2020-08-31,143.9409
2020-09-30,143.5985
2020-10-30,143.3314
2020-11-30,147.2995
2020-12-31,147.9177
2021-01-29,146.0978
2021-02-26,143.6506
2021-03-31,141.1649
2021-04-30,142.7532
2021-05-31,143.8491
2021-06-30,146.2294
2021-07-30,148.2762
2021-08-31,147.8042
2021-09-30,146.2159
2021-10-29,146.6288
2021-11-30,146.7758
2021-12-31,146.5428
2022-01-31,141.6415
2022-02-28,138.7552
2022-03-31,135.3004
2022-04-29,128.0155
2022-05-31,129.0321
2022-06-30,125.3941
2022-07-29,129.4187
2022-08-31,125.6845
2022-09-30,118.9922
2022-10-31,117.769
2022-11-30,123.9471
2022-12-30,123.398
2023-01-31,128.3435
2023-02-28,124.2828
2023-03-31,127.6445
2023-04-28,128.6667
2023-05-31,126.8047
2023-06-30,127.3368
2023-07-31,127.7865
2023-08-31,126.8135
2023-09-29,123.4367
