DATE,WILLLRGCAP
2000-01-03,30852.25
2000-01-04,29620.95
2000-01-05,29613.42
2000-01-06,29441.74
2000-01-07,30402.18
2000-01-10,30864.21
2000-01-11,30372.83
2000-01-12,30203.82
2000-01-13,30664.45
2000-01-14,31020.51
2000-01-17,.
2000-01-18,30871.71
2000-01-19,30968.16
2000-01-20,30776.66
2000-01-21,30762.36
2000-01-24,29917.34
2000-01-25,30095.54
2000-01-26,29948.10
2000-01-27,29832.50
2000-01-28,29011.80
2000-01-31,29619.40
2000-02-01,29996.43
2000-02-02,29994.12
2000-02-03,30396.75
2000-02-04,30351.41
2000-02-07,30390.76
2000-02-08,30743.90
2000-02-09,30123.27
2000-02-10,30284.32
2000-02-11,29687.66
2000-02-14,29720.73
2000-02-15,29966.13
2000-02-16,29703.18
2000-02-17,29732.67
2000-02-18,28893.69
2000-02-21,.
2000-02-22,28993.83
2000-02-23,29333.68
2000-02-24,29280.57
2000-02-25,28880.57
2000-02-28,29154.85
2000-02-29,29636.62
2000-03-01,29976.43
2000-03-02,29977.38
2000-03-03,30654.30
2000-03-06,30312.49
2000-03-07,29584.48
2000-03-08,29795.76
2000-03-09,30558.53
2000-03-10,30421.94
2000-03-13,30081.36
2000-03-14,29475.19
2000-03-15,29975.06
2000-03-16,31412.22
2000-03-17,31600.91
2000-03-20,31258.99
2000-03-21,32020.23
2000-03-22,32294.09
2000-03-23,32837.64
2000-03-24,32881.66
2000-03-27,32773.31
2000-03-28,32387.23
2000-03-29,32260.38
2000-03-30,31804.32
2000-03-31,32164.82
2000-04-03,31876.40
2000-04-04,31623.15
2000-04-05,31548.99
2000-04-06,31930.99
2000-04-07,32336.44
2000-04-10,31831.41
2000-04-11,31622.40
2000-04-12,30800.78
2000-04-13,30244.84
2000-04-14,28376.44
2000-04-17,29282.46
2000-04-18,30292.18
2000-04-19,30009.07
2000-04-20,30081.13
2000-04-21,.
2000-04-24,29871.61
2000-04-25,30963.77
2000-04-26,30579.76
2000-04-27,30784.65
2000-04-28,30717.82
2000-05-01,31068.53
2000-05-02,30459.69
2000-05-03,29842.33
2000-05-04,29804.81
2000-05-05,30250.09
2000-05-08,30013.52
2000-05-09,29705.53
2000-05-10,28975.20
2000-05-11,29560.88
2000-05-12,29820.40
2000-05-15,30499.34
2000-05-16,30876.64
2000-05-17,30466.90
2000-05-18,30177.48
2000-05-19,29473.83
2000-05-22,29318.22
2000-05-23,28660.00
2000-05-24,29181.07
2000-05-25,28803.72
2000-05-26,28761.46
2000-05-29,.
2000-05-30,29831.07
2000-05-31,29771.06
2000-06-01,30480.06
2000-06-02,31275.34
2000-06-05,31100.02
2000-06-06,30825.84
2000-06-07,31187.58
2000-06-08,30975.39
2000-06-09,30915.40
2000-06-12,30589.74
2000-06-13,31084.05
2000-06-14,31047.93
2000-06-15,31220.52
2000-06-16,30971.63
2000-06-19,31519.12
2000-06-20,31392.77
2000-06-21,31481.35
2000-06-22,30884.80
2000-06-23,30582.19
2000-06-26,30857.57
2000-06-27,30708.24
2000-06-28,30867.75
2000-06-29,30623.36
2000-06-30,30895.38
2000-07-03,31197.00
2000-07-04,.
2000-07-05,30694.48
2000-07-06,30969.47
2000-07-07,31448.97
2000-07-10,31368.35
2000-07-11,31431.21
2000-07-12,31775.39
2000-07-13,31919.21
2000-07-14,32253.91
2000-07-17,32275.20
2000-07-18,31860.01
2000-07-19,31536.89
2000-07-20,31935.07
2000-07-21,31575.08
2000-07-24,31150.84
2000-07-25,31342.33
2000-07-26,30908.77
2000-07-27,30747.10
2000-07-28,30062.52
2000-07-31,30346.64
2000-08-01,30453.58
2000-08-02,30454.85
2000-08-03,30809.52
2000-08-04,31063.64
2000-08-07,31427.39
2000-08-08,31486.88
2000-08-09,31279.77
2000-08-10,31007.15
2000-08-11,31271.61
2000-08-14,31685.72
2000-08-15,31541.37
2000-08-16,31457.32
2000-08-17,31837.25
2000-08-18,31742.16
2000-08-21,31896.32
2000-08-22,31892.77
2000-08-23,32096.37
2000-08-24,32174.22
2000-08-25,32142.12
2000-08-28,32308.05
2000-08-29,32253.72
2000-08-30,32178.71
2000-08-31,32540.52
2000-09-01,32632.06
2000-09-04,.
2000-09-05,32322.89
2000-09-06,31949.63
2000-09-07,32188.53
2000-09-08,31971.79
2000-09-11,31851.89
2000-09-12,31707.19
2000-09-13,31796.60
2000-09-14,31749.94
2000-09-15,31391.98
2000-09-18,30878.82
2000-09-19,31270.65
2000-09-20,31149.24
2000-09-21,31063.57
2000-09-22,31137.59
2000-09-25,30962.09
2000-09-26,30697.11
2000-09-27,30684.81
2000-09-28,31395.83
2000-09-29,30967.44
2000-10-02,30812.68
2000-10-03,30459.87
2000-10-04,30658.34
2000-10-05,30637.89
2000-10-06,30014.82
2000-10-09,29911.38
2000-10-10,29519.54
2000-10-11,29006.02
2000-10-12,28193.81
2000-10-13,29264.66
2000-10-16,29327.51
2000-10-17,28783.30
2000-10-18,28579.31
2000-10-19,29618.59
2000-10-20,29865.40
2000-10-23,29856.43
2000-10-24,29834.42
2000-10-25,29123.25
2000-10-26,29111.16
2000-10-27,29422.58
2000-10-30,29688.55
2000-10-31,30472.65
2000-11-01,30321.44
2000-11-02,30592.79
2000-11-03,30566.00
2000-11-06,30644.67
2000-11-07,30629.48
2000-11-08,30033.06
2000-11-09,29774.22
2000-11-10,28999.34
2000-11-13,28615.24
2000-11-14,29375.47
2000-11-15,29554.34
2000-11-16,29099.52
2000-11-17,28946.42
2000-11-20,28274.33
2000-11-21,28303.78
2000-11-22,27724.13
2000-11-23,.
2000-11-24,28268.91
2000-11-27,28372.26
2000-11-28,27964.76
2000-11-29,28073.86
2000-11-30,27510.73
2000-12-01,27592.80
2000-12-04,27750.82
2000-12-05,28990.39
