DATE,WILLLRGCAPGR
2018-11-16,80795.69
2018-11-19,78477.62
2018-11-20,77110.88
2018-11-21,77632.00
2018-11-22,.
2018-11-23,77061.65
2018-11-26,78595.44
2018-11-27,78761.08
2018-11-28,81233.47
2018-11-29,81086.16
2018-11-30,81617.78
2018-12-03,82951.04
2018-12-04,79646.47
2018-12-05,.
2018-12-06,79783.55
2018-12-07,77538.01
2018-12-10,77773.73
2018-12-11,77712.42
2018-12-12,78359.75
2018-12-13,78220.95
2018-12-14,76634.42
2018-12-17,74959.55
2018-12-18,75299.63
2018-12-19,73877.75
2018-12-20,72506.09
2018-12-21,70569.72
2018-12-24,68970.41
2018-12-25,.
2018-12-26,73024.54
2018-12-27,73577.90
2018-12-28,73529.02
2018-12-31,74211.09
2019-01-01,.
2019-01-02,74373.61
2019-01-03,72086.06
2019-01-04,74901.69
2019-01-07,75746.93
2019-01-08,76563.75
2019-01-09,77188.77
2019-01-10,77531.87
2019-01-11,77424.16
2019-01-14,76943.42
2019-01-15,78029.47
2019-01-16,78388.68
2019-01-17,78932.74
2019-01-18,79939.47
2019-01-21,.
2019-01-22,78580.91
2019-01-23,78666.42
2019-01-24,78964.80
2019-01-25,80010.03
2019-01-28,79279.18
2019-01-29,78917.26
2019-01-30,80639.72
2019-01-31,81635.70
2019-02-01,81601.81
2019-02-04,82404.29
2019-02-05,82938.97
2019-02-06,82645.94
2019-02-07,81765.65
2019-02-08,81803.21
2019-02-11,81847.07
2019-02-12,83004.96
2019-02-13,83186.58
2019-02-14,83143.53
2019-02-15,83845.65
2019-02-18,.
2019-02-19,83947.67
2019-02-20,83969.05
2019-02-21,83468.14
2019-02-22,84082.58
2019-02-25,84219.66
2019-02-26,84199.15
2019-02-27,84201.57
2019-02-28,83868.99
2019-03-01,84642.75
2019-03-04,84134.43
2019-03-05,84126.21
2019-03-06,83469.14
2019-03-07,82630.02
2019-03-08,82501.30
2019-03-11,83906.84
2019-03-12,84196.90
2019-03-13,84837.81
2019-03-14,84832.43
2019-03-15,85266.34
2019-03-18,85616.94
2019-03-19,85749.67
2019-03-20,85705.85
2019-03-21,86776.91
2019-03-22,84835.59
2019-03-25,84751.90
2019-03-26,85125.14
2019-03-27,84740.01
2019-03-28,85146.53
2019-03-29,85853.85
2019-04-01,86977.60
2019-04-02,87117.28
2019-04-03,87468.67
2019-04-04,87568.31
2019-04-05,88031.59
2019-04-08,88145.55
2019-04-09,87750.13
2019-04-10,88143.58
2019-04-11,88083.80
2019-04-12,88757.12
2019-04-15,88763.12
2019-04-16,88638.07
2019-04-17,88403.86
2019-04-18,88571.12
2019-04-19,.
2019-04-22,88821.82
2019-04-23,89872.06
2019-04-24,89648.55
2019-04-25,89793.33
2019-04-26,90296.05
2019-04-29,90515.76
2019-04-30,90045.56
2019-05-01,89617.62
2019-05-02,89507.33
2019-05-03,90459.12
2019-05-06,90091.22
2019-05-07,88386.24
2019-05-08,88386.10
2019-05-09,88105.99
2019-05-10,88184.97
2019-05-13,85480.93
2019-05-14,86288.30
2019-05-15,87017.89
2019-05-16,87872.53
2019-05-17,87218.60
2019-05-20,86369.85
2019-05-21,87270.76
2019-05-22,86866.71
2019-05-23,85579.71
2019-05-24,85753.83
2019-05-27,.
2019-05-28,85389.26
2019-05-29,84712.06
2019-05-30,84990.96
2019-05-31,83808.42
2019-06-03,82673.94
2019-06-04,84826.89
2019-06-05,85570.47
2019-06-06,86071.74
2019-06-07,87295.88
2019-06-10,87950.02
2019-06-11,87831.92
2019-06-12,87591.11
2019-06-13,88056.43
2019-06-14,87882.08
2019-06-17,88178.05
2019-06-18,89125.17
2019-06-19,89490.68
2019-06-20,90285.01
2019-06-21,90024.73
2019-06-24,89736.55
2019-06-25,88694.85
2019-06-26,88809.24
2019-06-27,89351.96
2019-06-28,89851.97
2019-07-01,90674.24
2019-07-02,90936.07
2019-07-03,91643.67
2019-07-04,.
2019-07-05,91620.01
2019-07-08,91058.56
2019-07-09,91493.95
2019-07-10,91994.40
2019-07-11,92393.28
2019-07-12,92976.16
2019-07-15,93058.77
2019-07-16,92743.52
2019-07-17,92248.57
2019-07-18,92309.91
2019-07-19,91593.68
2019-07-22,92032.61
2019-07-23,92628.29
2019-07-24,93145.14
2019-07-25,92490.01
2019-07-26,93544.61
2019-07-29,93139.94
2019-07-30,92890.06
2019-07-31,91956.52
2019-08-01,90974.78
2019-08-02,90021.33
2019-08-05,87016.25
2019-08-06,88387.46
2019-08-07,88552.10
2019-08-08,90417.63
2019-08-09,89716.22
2019-08-12,88544.91
2019-08-13,90050.27
2019-08-14,87299.08
2019-08-15,87647.14
2019-08-16,88888.24
2019-08-19,89952.10
2019-08-20,89458.36
2019-08-21,90356.01
2019-08-22,90246.70
2019-08-23,87833.10
2019-08-26,88904.08
2019-08-27,88502.73
2019-08-28,89039.22
2019-08-29,90399.12
2019-08-30,90334.91
2019-09-02,.
2019-09-03,89461.69
2019-09-04,90468.26
2019-09-05,91918.74
2019-09-06,91857.15
2019-09-09,91576.51
2019-09-10,91433.16
2019-09-11,92146.88
2019-09-12,92457.61
2019-09-13,92384.47
2019-09-16,92159.12
2019-09-17,92500.99
2019-09-18,92449.05
2019-09-19,92367.61
2019-09-20,91654.15
2019-09-23,91575.59
2019-09-24,90552.93
2019-09-25,91283.01
2019-09-26,90890.44
2019-09-27,89999.30
2019-09-30,90587.54
2019-10-01,89714.69
2019-10-02,88170.88
2019-10-03,88979.23
2019-10-04,90330.05
2019-10-07,90076.74
2019-10-08,88665.86
2019-10-09,89609.73
2019-10-10,90135.19
2019-10-11,91218.44
2019-10-14,91187.61
2019-10-15,92273.78
2019-10-16,92057.82
2019-10-17,92417.56
2019-10-18,91805.93
2019-10-21,92397.23
2019-10-22,91711.65
2019-10-23,92020.74
2019-10-24,92645.34
2019-10-25,93124.10
2019-10-28,93785.08
2019-10-29,93458.94
2019-10-30,93770.16
2019-10-31,93626.44
2019-11-01,94628.80
2019-11-04,94854.57
2019-11-05,94704.32
2019-11-06,94688.70
2019-11-07,95106.37
2019-11-08,95355.87
2019-11-11,95343.84
2019-11-12,95637.73
2019-11-13,95781.55
2019-11-14,96031.99
2019-11-15,96807.50
2019-11-18,96991.98
2019-11-19,97155.90
2019-11-20,96764.51
2019-11-21,96438.79
2019-11-22,96591.56
2019-11-25,97593.01
2019-11-26,97819.51
2019-11-27,98384.76
2019-11-28,.
2019-11-29,97982.26
2019-12-02,96928.75
2019-12-03,96301.79
2019-12-04,96728.10
2019-12-05,96941.31
2019-12-06,97853.61
2019-12-09,97373.06
2019-12-10,97211.21
2019-12-11,97531.47
2019-12-12,98135.74
2019-12-13,98380.63
2019-12-16,99271.06
2019-12-17,99329.63
2019-12-18,99302.05
2019-12-19,99897.58
2019-12-20,100207.44
2019-12-23,100410.77
2019-12-24,100435.35
2019-12-25,.
2019-12-26,101236.47
2019-12-27,101159.57
2019-12-30,100493.72
2019-12-31,100773.21
2020-01-01,.
2020-01-02,102123.36
2020-01-03,101482.59
2020-01-06,102137.67
2020-01-07,102070.30
2020-01-08,102792.27
2020-01-09,103672.19
2020-01-10,103443.82
2020-01-13,104278.12
2020-01-14,103966.12
2020-01-15,104205.63
2020-01-16,105196.40
2020-01-17,105644.93
2020-01-20,.
2020-01-21,105522.43
2020-01-22,105638.42
2020-01-23,105775.78
2020-01-24,104763.91
2020-01-27,102834.36
2020-01-28,104175.59
2020-01-29,104233.81
2020-01-30,104289.31
2020-01-31,102476.34
2020-02-03,103485.69
2020-02-04,105370.40
2020-02-05,106022.32
2020-02-06,106552.06
2020-02-07,106001.30
2020-02-10,106969.08
2020-02-11,107235.16
2020-02-12,108350.49
2020-02-13,108440.90
2020-02-14,108801.59
2020-02-17,.
2020-02-18,108709.61
2020-02-19,109606.16
2020-02-20,108954.86
2020-02-21,107348.72
2020-02-24,103249.63
2020-02-25,99906.26
2020-02-26,99617.75
2020-02-27,95327.22
2020-02-28,94971.62
2020-03-02,99335.68
2020-03-03,96453.93
2020-03-04,100497.28
2020-03-05,96796.06
2020-03-06,95127.12
2020-03-09,88028.06
2020-03-10,92815.98
2020-03-11,88345.19
2020-03-12,80038.99
2020-03-13,87177.91
2020-03-16,76100.92
2020-03-17,79905.53
2020-03-18,75740.77
2020-03-19,77268.49
2020-03-20,74080.70
2020-03-23,72838.47
2020-03-24,79728.31
2020-03-25,80690.15
2020-03-26,85360.10
2020-03-27,82220.32
2020-03-30,84658.07
2020-03-31,83509.81
2020-04-01,79573.70
2020-04-02,80905.04
2020-04-03,79563.91
2020-04-06,85789.99
2020-04-07,85641.47
2020-04-08,88552.34
2020-04-09,89503.33
2020-04-10,.
2020-04-13,89257.77
2020-04-14,92441.45
2020-04-15,90957.91
2020-04-16,91890.18
2020-04-17,93698.34
2020-04-20,92290.56
2020-04-21,89174.34
2020-04-22,91690.47
2020-04-23,91726.80
2020-04-24,93056.84
2020-04-27,94329.34
2020-04-28,93276.40
2020-04-29,96338.61
2020-04-30,96035.63
2020-05-01,93255.75
2020-05-04,93961.12
2020-05-05,95106.10
2020-05-06,94996.71
2020-05-07,96577.09
2020-05-08,98044.41
2020-05-11,98427.98
2020-05-12,96411.62
2020-05-13,94943.35
2020-05-14,96015.07
2020-05-15,96727.97
2020-05-18,99391.12
2020-05-19,98873.12
2020-05-20,100695.98
2020-05-21,99963.66
2020-05-22,100450.97
2020-05-25,.
2020-05-26,101046.96
2020-05-27,102170.56
2020-05-28,102006.00
2020-05-29,102819.63
2020-06-01,103502.54
2020-06-02,104133.81
2020-06-03,105139.20
2020-06-04,104331.59
2020-06-05,106896.93
2020-06-08,107874.28
2020-06-09,107734.65
2020-06-10,107857.29
2020-06-11,101806.13
2020-06-12,103028.50
2020-06-15,104169.08
2020-06-16,105975.64
2020-06-17,106008.04
2020-06-18,106100.98
2020-06-19,105809.96
2020-06-22,106846.04
2020-06-23,107561.52
2020-06-24,104805.90
2020-06-25,105967.11
2020-06-26,103143.11
2020-06-29,104532.86
2020-06-30,106306.67
2020-07-01,107385.16
2020-07-02,107793.06
2020-07-03,.
2020-07-06,110072.76
2020-07-07,108999.57
2020-07-08,110256.28
2020-07-09,110295.00
2020-07-10,111212.75
2020-07-13,109378.00
2020-07-14,110804.99
2020-07-15,111758.27
2020-07-16,111187.69
2020-07-17,111549.21
2020-07-20,113702.92
2020-07-21,113196.02
2020-07-22,113778.31
2020-07-23,111723.30
2020-07-24,110974.34
2020-07-27,112223.70
2020-07-28,111001.34
2020-07-29,112742.32
2020-07-30,112905.85
2020-07-31,114611.18
2020-08-03,115381.75
2020-08-04,115887.76
2020-08-05,116887.96
2020-08-06,118044.40
2020-08-07,117513.36
2020-08-10,117530.70
2020-08-11,116115.58
2020-08-12,118150.08
2020-08-13,118579.90
2020-08-14,118430.41
2020-08-17,119249.02
2020-08-18,120003.32
2020-08-19,119404.63
2020-08-20,120360.16
2020-08-21,121207.91
2020-08-24,122141.22
2020-08-25,122813.01
2020-08-26,125069.17
2020-08-27,124698.60
2020-08-28,125492.20
2020-08-31,126226.29
2020-09-01,127899.14
2020-09-02,129294.86
2020-09-03,123614.42
2020-09-04,121997.48
2020-09-07,.
2020-09-08,117749.44
2020-09-09,120649.12
2020-09-10,118479.56
2020-09-11,118060.88
2020-09-14,120125.32
2020-09-15,121264.59
2020-09-16,120084.22
2020-09-17,118536.32
2020-09-18,117116.59
2020-09-21,116782.39
2020-09-22,118532.01
2020-09-23,115226.73
2020-09-24,115580.79
2020-09-25,118104.44
2020-09-28,120206.52
2020-09-29,120015.29
2020-09-30,120958.30
2020-10-01,122396.84
2020-10-02,120313.71
2020-10-05,122720.52
2020-10-06,120668.20
2020-10-07,122921.52
2020-10-08,123608.67
2020-10-09,125208.42
2020-10-12,128074.00
2020-10-13,127625.10
2020-10-14,126613.54
2020-10-15,126078.50
2020-10-16,125646.59
2020-10-19,123518.27
2020-10-20,124185.24
2020-10-21,124054.37
2020-10-22,124095.07
2020-10-23,124794.57
2020-10-26,122720.30
2020-10-27,123218.26
2020-10-28,118482.34
2020-10-29,120330.62
2020-10-30,117446.70
2020-11-02,118290.81
2020-11-03,120592.89
2020-11-04,125549.14
2020-11-05,128190.68
2020-11-06,128302.94
2020-11-09,126768.80
2020-11-10,125441.12
2020-11-11,127469.42
2020-11-12,126637.48
2020-11-13,127780.97
2020-11-16,128688.39
2020-11-17,128538.10
2020-11-18,127429.46
2020-11-19,128148.49
2020-11-20,127165.26
2020-11-23,127392.35
2020-11-24,128803.00
